# experiment1.py N=100 T=1000 alpha=0.08 b=0.015 bank_max_failures_allowed=1 bank_sector_A_i0=500 beta=0.02 default_seed=17683 eta=0.3 firms_A_i0=1.0 firms_K_i0=5.0 g=1.0 k=1.0 lambda_param=0.3 phi=1.2 r_i0=0.02 rate_for_bank_deposits_and_networth=0 threshold_bankrupt=0 w=1.0
  t,BankL,BankA,BankD,BankPROFITS,BankBD,FirmsK,FirmsA,FirmsL,FirmsPROFITS,FirmsY,FirmsR,FirmsI,FirmsGAMMA,FirmsU,FirmsDK,FirmsOL,FirmsGAP_OF_L,FirmsDL,FirmsFAIL
  0,15465.655299057447,1237.2524239245959,14228.402875132851,-14.745098039215693,0.0024780361866187928,4.7544578047762105,116.10068685803328,nan,16.100686858033253,4.9367793615701645,0.0,-1137.2549019607857,1.02,1.035970937351169,-637.2549019607847,5885.0563702736035,0.0,-737.2549019607847,1
  1,24024.457816733844,1921.9566253387075,22102.50119139514,-13.970545927218772,0.0,4.820983550988025,124.08707674721653,nan,6.983911852996631,5.003305107781979,0.0,-685.4241314667181,1.0002,0.9787075741162101,-564.3209665724986,15123.483624267383,0.0,-698.5272963609386,0
  2,32492.26630423197,2599.3813043385576,29892.884999893413,-13.824993448976558,0.0,4.854012766459687,128.25401203168227,nan,4.166935284465743,5.036334323253641,0.0,-684.2657605958309,1.0,0.9706193212816778,-560.1786838486147,23678.61417819704,0.0,-691.2496724488279,0
  3,40951.08930738297,3276.0871445906378,37675.002162792334,-13.810323270450596,0.0,4.972256370212961,144.3522322606748,nan,16.098220228992552,5.154577927006916,0.0,-686.3492282380645,1.0,0.9541812931224891,-558.0952162063817,32145.184608563595,0.0,-690.5161635225297,0
  4,49654.67215000702,3972.3737720005615,45682.29837800646,-14.209931171631052,0.0,4.904569836602524,134.904866387924,nan,-9.447365872750854,5.0868913933964786,0.0,-694.3983383525604,1.0,0.9056323986937872,-550.0461060918853,40582.06965914197,0.0,-710.4965585815526,0
  5,57987.45644691406,4638.996515753125,53348.459931160935,-13.604545790868684,0.0,4.971980950416035,144.31248027267318,nan,9.407613884749296,5.15430250720999,0.0,-689.674655416185,1.0,1.0071020682327332,-554.769789028261,49294.40239442845,0.0,-680.2272895434342,0
  6,66608.83588089458,5328.706870471567,61280.129010423014,-14.075721524866177,0.0,4.942643916981852,140.14027944496902,nan,-4.172200827704205,5.124965473775806,0.0,-694.3784623585594,1.0,1.022737222357204,-550.0659820858862,57605.45659564737,0.0,-703.7860762433088,0
  7,75038.3078545779,6003.064628366232,69035.24322621166,-13.762403222340067,0.0,5.0295688775900596,152.86709405714404,nan,12.726814612174977,5.211890434384014,0.0,-692.2923619447076,1.0,1.034048211056405,-552.1520824997384,66231.19859935249,0.0,-688.1201611170034,0
  8,83752.74450689925,6700.21956055194,77052.52494634732,-14.227651677259399,0.0,5.109937612729847,165.66001947494584,nan,12.792925417801863,5.292259169523802,0.0,-698.6557692507951,1.0,1.005976471538457,-545.788675193651,74650.83716046593,0.0,-711.3825838629699,0
  9,92546.34768477362,7403.707814781889,85142.63986999173,-14.35690314754996,0.0,5.0808365686123205,160.9086107317878,nan,-4.751408743158059,5.263158125406275,0.0,-705.0522319596957,1.0,0.9302986807264758,-539.39221248475,83371.76393493965,0.0,-717.845157377498,0
 10,101095.93039062437,8087.6744312499495,93008.25595937442,-13.958502376899174,0.0,4.888282462418194,132.72541728121516,nan,-28.183193450572652,5.070604019212149,0.0,-702.6765275881166,1.0,0.8789617531228937,-541.7679168563291,92185.2436753025,0.0,-697.9251188449587,0
 11,109185.8516739245,8734.86813391396,100450.98354001054,-13.208034748245156,0.0,4.903787114711861,134.79931471003846,nan,2.073897428823285,5.086108671505815,0.0,-688.5849308628306,1.0,0.9191429218249216,-555.8595135816151,100747.47258242388,0.0,-660.4017374122578,0
 12,117659.12494224879,9412.729995379903,108246.39494686888,-13.83391554012131,0.0,5.030631630021021,153.02964029087087,nan,18.230325580832385,5.212953186814975,0.0,-689.6218795772418,1.0,1.0039375796352292,-554.8225648672039,108821.78529974398,0.0,-691.6957770060656,0
 13,126441.97519961782,10115.358015969427,116326.6171836484,-14.339347358969805,0.0,5.107219198168444,165.2102984068578,nan,12.18065811598696,5.289540754962399,0.0,-698.7370423676581,1.0,1.0283476583762536,-545.7074020767875,117265.063841943,0.0,-716.9673679484903,0
 14,135236.32426578732,10818.905941262985,124417.41832452433,-14.370582151287909,0.0,5.17422506249196,175.74918311748485,-0.09378564895985823,10.53888471062707,5.356546619285914,6.587261098990175e-05,-704.8273714256519,1.0,1.0679301485777646,-539.617073018794,126040.58643801726,0.0,-717.0080295416386,0
 15,144067.85847403598,11525.428677922879,132542.4297961131,-14.417319289394795,0.0,5.293651143562488,199.06892938384425,nan,23.31974626635936,5.475972700356442,0.0,-711.2375576623242,1.00006587261099,1.0224907148267783,-534.577896641628,134835.29901859947,0.0,-720.8659644697398,0
 16,153195.04478049715,12255.603582439771,140939.44119805738,-14.90152866361009,0.0,5.137125447953662,170.22574160123435,nan,-28.84318778260986,5.319447004747617,0.0,-721.756686914145,1.0,0.8347174510016804,-522.6877575303007,143659.7481085204,0.0,-745.0764331805045,0
 17,161513.3627490468,12921.069019923743,148592.29372912305,-13.636222292676832,2.7094548572031893,5.10577497332951,161.65266041033746,1.199726620115435,-8.573081190896994,5.288096530123464,0.0004365310589108596,-707.3350930228404,1.0,1.1179748011124178,-537.1093514216057,152835.682697127,0.0,-678.4919052402304,1
 18,170235.27472317262,13618.82197785381,156616.45274531882,-14.51032347961292,13.400343551357304,5.1012735250137276,139.92545354823926,3.190701543945912,-25.436661719301238,5.283595081807683,0.009182488500754794,-709.5536066533786,1.0002,0.9339713263510067,-540.1914913858382,161186.08190742342,0.0,-701.2107011599813,2
 19,178758.06726246176,14300.64538099694,164457.4218814648,-13.909473496108705,0.0,5.074276870866087,155.04247170126973,1.5715452776032879,-0.28332539832686265,5.256598427660042,0.00019851684577080166,-709.1857743667927,1.0004,0.899989535682688,-545.8599772671959,169912.8513819608,0.0,-690.6238931370566,0
 20,187332.19264005558,14986.575411204447,172345.61722885113,-14.002142661228229,0.2491124172666832,5.084538932088398,160.42668698746704,0.07582159311612555,5.384215286197262,5.266860488882353,0.00018858109029029128,-705.2045400011285,1.0001985168457708,0.9660519093076502,-545.3479867584689,178425.2049438842,0.0,-700.1071330614114,1
