# experiment1.py N=100 T=1000 alpha=0.08 b=0.015 bank_max_failures_allowed=1 bank_sector_A_i0=500 beta=0.02 default_seed=18776 eta=0.5 firms_A_i0=1.0 firms_K_i0=5.0 g=1.0 k=1.0 lambda_param=0.3 phi=1.2 r_i0=0.02 rate_for_bank_deposits_and_networth=0 threshold_bankrupt=0 w=1.0
  t,BankL,BankA,BankD,BankPROFITS,BankBD,FirmsK,FirmsA,FirmsL,FirmsPROFITS,FirmsY,FirmsR,FirmsI,FirmsGAMMA,FirmsU,FirmsDK,FirmsOL,FirmsGAP_OF_L,FirmsDL,FirmsFAIL
  0,21184.64052287583,1694.7712418300664,19489.869281045765,-23.895424836601265,0.0,4.661339122468122,105.77763656591124,nan,5.777636565911274,4.843660679262077,0.0,-1594.771241830063,1.02,0.9797966960537388,-1094.7712418300632,5658.588235294131,0.0,-1194.7712418300632,0
  1,35514.41570588556,2841.153256470845,32673.262449414717,-23.395551319199562,0.0,4.779092804305244,118.99634808808878,nan,13.218711522177545,4.961414361099199,0.0,-1163.9999293940668,1.0,1.0257110216441063,-1058.2222928281558,20605.11008822877,0.0,-1169.7775659599781,0
  2,50016.3086651829,4001.304693214632,46015.00397196827,-23.676559933546663,0.0,4.804002436045272,121.99772976118904,nan,3.001381673100223,4.9863239928392264,0.0,-1170.6092851551555,1.0,0.9972727536561561,-1051.6129370670667,34890.89265093787,0.0,-1183.8279966773332,0
  3,64411.422796576764,5152.913823726141,59258.50897285062,-23.50222715329611,0.0,4.902529071688255,134.6298379994296,nan,12.632108238240649,5.08485062848221,0.0,-1172.1099759917051,1.0,1.0766478993831974,-1050.1122462305166,49418.27558532783,0.0,-1175.1113576648056,0
  4,79001.88499135284,6320.150799308227,72681.73419204462,-23.821162766981338,0.0,4.958294058857518,142.35074664670782,nan,7.720908647278118,5.140615615651473,0.0,-1178.426030110826,1.0,1.0740562786758943,-1043.7961921113963,63811.31784883357,0.0,-1191.058138349067,0
  5,93579.47555660419,7486.358044528335,86093.11751207586,-23.800147861634855,0.0,4.961804543299492,142.85134488518497,nan,0.500598238477142,5.144126100093446,0.0,-1182.286484434465,1.0,1.040391637345394,-1039.9357377877577,78408.33478494838,0.0,-1190.0073930817427,0
  6,108071.68348355842,8645.734678684674,99425.94880487374,-23.660747635843613,0.0,4.965745032315495,143.4153595576279,nan,0.5640146724429731,5.148066589109449,0.0,-1182.5367835537036,1.0,1.0408337508631962,-1039.6854386685184,92999.2004641739,0.0,-1183.0373817921807,0
  7,122568.1228516974,9805.449828135792,112762.6730235616,-23.667656111247364,0.0,4.891953448024073,133.21354578577208,nan,-10.20181377185585,5.074275004818026,0.0,-1182.8187908899254,1.0,0.9815561274191719,-1039.4034313322966,107492.94012595587,0.0,-1183.3828055623683,0
  8,136870.19471204115,10949.615576963293,125920.57913507786,-23.350321404642823,0.0,4.979153135243852,145.35123667779482,nan,12.137690892022775,5.161474692037807,0.0,-1177.7178840039971,1.0,1.1046050512917713,-1044.5043382182248,122008.31034569767,0.0,-1167.5160702321411,0
  9,151520.26886123107,12121.621508898486,139398.6473523326,-23.91848840684063,0.0,4.984018042334463,146.06007976959526,nan,0.7088430918003799,5.166339599128418,0.0,-1183.7867294500088,1.0,1.0617863485812977,-1038.4354927722138,136262.84886466313,0.0,-1195.9244203420315,0
 10,166034.68128880544,13282.774503104436,152751.906785701,-23.696999881754177,0.0,4.887831920126996,132.66563233644737,nan,-13.394447433147775,5.070153476920951,0.0,-1184.1411509959084,1.0,0.9847486731157168,-1038.0810712263133,150930.2528466008,0.0,-1184.8499940877089,0
 11,180294.2874169213,14423.542993353703,165870.74442356758,-23.28098959692374,0.0,4.868741717649578,130.1570395104703,nan,-2.5085928259771983,5.051063274443533,0.0,-1177.4439272793345,1.0,1.007816855339469,-1044.7782949428872,165459.22504148667,0.0,-1164.0494798461868,0
 12,194671.8801329158,15573.750410633265,179098.12972228252,-23.47362076080739,0.0,4.891345565209655,133.1325921682906,nan,2.9755526578203546,5.07366712200361,0.0,-1176.1896308663463,1.0,1.0585974866254608,-1046.032591355876,179679.80784721367,0.0,-1173.6810380403695,0
 13,209134.8788911161,16730.79031128929,192404.0885798268,-23.613059197061524,0.0,4.716266101800568,111.75020878348998,nan,-21.38238338480061,4.898587658594523,0.0,-1177.6774071952564,1.0,0.8427368647142239,-1044.544815026966,194099.7422991121,0.0,-1180.6529598530763,0
 14,223168.52583456226,17853.48206676498,205315.04376779727,-22.912076642361104,0.0,4.687813516345625,108.61543411728911,nan,-3.1347746662008893,4.87013507313958,0.0,-1166.9862155028559,1.0,0.9515399115327484,-1055.236006719366,208549.87096332017,0.0,-1145.6038321180552,0
 15,237406.50548998092,18992.520439198473,218413.98505078244,-23.245681070071097,0.0,4.7778164895067645,118.8445681681417,nan,10.229134050852593,4.960138046300719,0.0,-1165.4188281697552,1.0,1.0291827203873785,-1056.8033940524665,222555.7924603912,0.0,-1162.2840535035548,0
 16,251870.84647324486,20149.66771785959,231721.17875538528,-23.615250584920684,0.0,4.72068495674053,112.24510938730664,nan,-6.599458780835084,4.903006513534484,0.0,-1170.5333951951823,1.0,0.955512298798413,-1051.6888270270401,236799.4760480846,0.0,-1180.762529246034,0
 17,266088.61550928786,21287.08924074303,244801.52626854484,-23.212684140478597,0.0,4.813413081411007,123.1512261914998,nan,10.90611680419316,4.995734638204961,0.0,-1167.2336658047643,1.0,1.044377984157188,-1054.9885564174579,251262.613021115,0.0,-1160.6342070239298,0
 18,280587.62781167345,22447.010224933874,258140.61758673957,-23.671856820221088,0.0,4.786374688309762,119.86602830409798,nan,-3.285197887401827,4.968696245103717,0.0,-1172.6867242068613,1.0,0.9698533451627922,-1049.5354980153616,265487.0713964047,0.0,-1183.5928410110544,0
 19,294892.6746720265,23591.41397376212,271301.26069826435,-23.355178547515155,0.0,4.755490348366726,116.2206277895668,nan,-3.6454005145311816,4.93781190516068,0.0,-1171.0441252631604,1.0,1.0011359276810363,-1051.178096959062,280020.6372671438,0.0,-1167.7589273757578,0
 20,309170.9809720457,24733.678477763653,284437.302494282,-23.311520489827263,0.0,4.766919152673552,117.55650982741037,nan,1.335882037843628,4.949240709467507,0.0,-1169.2214250058946,1.0,0.9826563987743842,-1053.0007972163276,294333.4213425223,0.0,-1165.5760244913631,0
 21,323518.49026081327,25881.47922086506,297637.0110399482,-23.424504961253188,0.0,4.815579148302199,123.41826909715067,nan,5.861759269740306,4.997900705096153,0.0,-1169.8893660248168,1.0,1.0380171656928778,-1052.3328561974063,308606.76341868594,0.0,-1171.2252480626594,0
 22,337957.34482119867,27036.587585695896,310920.75723550277,-23.573640098588534,0.0,4.843944650521129,126.96921436786482,nan,3.5509452707141143,5.026266207315083,0.0,-1172.8202456596869,1.0,1.0363051981062135,-1049.4019765625358,322919.56276016985,0.0,-1178.6820049294267,0
 23,352389.6414498792,28191.171315990337,324198.4701338889,-23.562933271315146,0.0,4.782876332267041,119.4474268949687,nan,-7.52178747289611,4.965197889060995,0.0,-1174.5957182950435,1.0,0.9587494599622151,-1047.6265039271789,337358.0480047995,0.0,-1178.1466635657573,0
 24,366640.22615417914,29331.218092334333,337309.0080618448,-23.266260741713985,0.0,4.836201029178484,125.98980981268804,nan,6.542382917719333,5.018522585972438,0.0,-1170.8348245585955,1.0,1.01934903957606,-1051.3873976636266,351801.5234289267,0.0,-1163.3130370856993,0
 25,381103.169041135,30488.2535232908,350614.9155178442,-23.6129679787035,0.0,4.774743567974193,118.4799286767972,nan,-7.5098811358908675,4.957065124768148,0.0,-1174.1060160174554,1.0,0.9255471333666261,-1048.1162062047672,366064.0586927667,0.0,-1180.648398935175,0
 26,395347.9736714768,31627.837893718148,363720.13577775867,-23.25682388627238,0.0,4.7274236948645,113.00405407791595,nan,-5.475874598881212,4.909745251658455,0.0,-1170.3510754495098,1.0,0.9702489885776753,-1051.8711467727128,380515.2577322281,0.0,-1162.8411943136189,0
 27,409584.1551499791,32766.73241199833,376817.4227379808,-23.24274527102376,0.0,4.796936760966306,121.13877157558045,nan,8.134717497664477,4.9792583177602605,0.0,-1167.6131381500686,1.0,1.028754692370116,-1054.609084072153,394757.8314242557,0.0,-1162.137263551188,0
