# experiment1.py N=100 T=1000 alpha=0.08 b=0.015 bank_max_failures_allowed=1 bank_sector_A_i0=500 beta=0.02 default_seed=17234 eta=0.9 firms_A_i0=1.0 firms_K_i0=5.0 g=1.0 k=1.0 lambda_param=0.3 phi=1.2 r_i0=0.02 rate_for_bank_deposits_and_networth=0 threshold_bankrupt=0 w=1.0
  t,BankL,BankA,BankD,BankPROFITS,BankBD,FirmsK,FirmsA,FirmsL,FirmsPROFITS,FirmsY,FirmsR,FirmsI,FirmsGAMMA,FirmsU,FirmsDK,FirmsOL,FirmsGAP_OF_L,FirmsDL,FirmsFAIL
  0,13014.705882352919,1041.1764705882335,11973.529411764684,-10.82352941176472,0.0,4.63762285067771,103.2984995321312,nan,3.2984995321312263,4.819944407471665,0.0,-941.1764705882343,1.02,1.032338230707169,-441.17647058823604,5982.117647058841,0.0,-541.176470588236,0
  1,19676.704700144714,1574.136376011577,18102.568324133135,-10.876732763741712,0.0,4.612799034187233,100.76580220018816,nan,-2.5326973319430595,4.795120590981188,0.0,-540.5381386549545,1.0,0.985146621213634,-437.2396391228232,12752.346973425741,0.0,-543.8366381870856,0
  2,26251.75858519346,2100.140686815477,24151.617898377983,-10.7347818531408,0.0,4.610512421153539,100.53565303484682,nan,-0.23014916534138685,4.792833977947492,0.0,-539.271789988983,1.0,0.987465632413838,-438.5059877887947,19408.199250983933,0.0,-536.73909265704,0
  3,32853.609021645345,2628.288721731628,30225.320299913717,-10.778531324819417,0.0,4.701506935811608,110.11298068348027,nan,9.577327648633494,4.883828492605562,0.0,-539.1567154063122,1.0,1.083194692790149,-438.6210623714654,25979.199290042587,0.0,-538.9265662409708,0
  4,39634.26218091632,3170.7409744733054,36463.52120644301,-11.070454137585253,0.0,4.601245255784195,99.6082762267228,nan,-10.504704456757544,4.783566812578148,0.0,-543.9453792306291,1.0,0.9644505145747048,-433.8323985471487,32581.986787084636,0.0,-553.5227068792626,0
  5,46104.5691320986,3688.365530567888,42416.20360153071,-10.563766450909855,0.0,4.548379898939713,94.4792183749744,nan,-5.129057851748306,4.7307014557336675,0.0,-538.6930270022502,1.0,0.9285004016515862,-439.0847507755274,39369.57557182152,0.0,-528.1883225454927,0
  6,52609.31227485029,4208.744981988023,48400.567292862266,-10.619988804492559,0.0,4.61112964428926,100.59772512005775,nan,6.118506745083319,4.793451201083214,0.0,-536.1284980763761,1.0,0.9932839465054597,-441.64927970140155,45838.209565686666,0.0,-530.999440224628,0
  7,59289.31393772677,4743.145115018142,54546.16882270863,-10.90612516388002,0.0,4.482053198008366,88.41602203922565,nan,-12.18170308083208,4.6643747548023216,0.0,-539.1877514489177,1.0,0.866008296123232,-438.5900263288599,52337.50622016641,0.0,-545.306258194001,0
  8,65670.52509886575,5253.64200790926,60416.883090956486,-10.418303936553391,0.0,4.660972315099511,105.7388436645806,nan,17.322821625354916,4.843293871893464,0.0,-533.0968999085019,1.0,1.0443905683745727,-444.6808778692761,59026.02301508418,0.0,-520.9151968276695,0
  9,72519.26897011076,5801.541517608861,66717.7274525019,-11.18162264693068,0.0,4.677066127315091,107.45435226728715,nan,1.7155086027065838,4.859387684109046,0.0,-541.7583107211793,1.0,1.0483427682454007,-436.01946705659833,65388.9913106651,0.0,-559.081132346534,0
 10,79187.33074701992,6334.986459761594,72852.34428725833,-10.886631472504776,0.0,4.698952700855608,109.83208514842266,nan,2.377732881135497,4.8812742576495625,0.0,-542.6160650225326,1.0,1.0656130788976341,-435.1617127552452,72246.84287892052,0.0,-544.3315736252388,0
 11,85878.06838523681,6870.245470818944,79007.82291441786,-10.923653286884718,0.0,4.603934069475654,99.87646471648823,nan,-9.955620431934422,4.786255626269609,0.0,-543.8049314631004,1.0,0.9724794029984709,-433.9728463146773,78924.25747953152,0.0,-546.182664344236,0
 12,92356.74427022299,7388.539541617839,84968.20472860515,-10.57743001630397,0.0,4.681741307632503,107.95789690383701,nan,8.081432187348785,4.864062864426458,0.0,-538.8271212471329,1.0,1.061490629118389,-438.9506565306445,85620.79180071452,0.0,-528.8715008151985,0
 13,99105.8728219429,7928.469825755433,91177.40299618748,-11.018985390563124,0.0,4.5621016622666035,95.78457526626131,nan,-12.173321637575683,4.744423219060558,0.0,-542.8678373408073,1.0,0.932891298397269,-434.90994043697054,92083.60288394823,0.0,-550.9492695281562,0
 14,105532.31904427725,8442.58552354218,97089.73352073507,-10.492157097688876,0.0,4.522677650539729,92.0818311326984,nan,-3.7027441335629323,4.704999207333683,0.0,-536.7811765220193,1.0,0.9079314876467395,-440.9966012557582,98842.33861222888,0.0,-524.6078548844438,0
 15,112039.85053321777,8963.188042657423,103076.66249056035,-10.624541206433497,0.0,4.6143779270475385,100.92502627164225,nan,8.843195138943866,4.796699483841493,0.0,-534.9298044552381,1.0,0.9953051682929651,-442.84797332253953,105274.75235678533,0.0,-531.2270603216748,0
