# experiment1.py N=100 T=1000 alpha=0.08 b=0.015 bank_max_failures_allowed=1 bank_sector_A_i0=500 beta=0.02 default_seed=19920 eta=0.3 firms_A_i0=1.0 firms_K_i0=5.0 g=1.0 k=1.0 lambda_param=0.3 phi=1.2 r_i0=0.02 rate_for_bank_deposits_and_networth=0 threshold_bankrupt=0 w=1.0
  t,BankL,BankA,BankD,BankPROFITS,BankBD,FirmsK,FirmsA,FirmsL,FirmsPROFITS,FirmsY,FirmsR,FirmsI,FirmsGAMMA,FirmsU,FirmsDK,FirmsOL,FirmsGAP_OF_L,FirmsDL,FirmsFAIL
  0,15465.336374201908,1237.2269099361527,14228.109464265755,-14.745098039215693,0.02799202462981154,4.675228006768451,107.25701963070614,nan,7.25701963070611,4.857549563562405,0.0,-1137.2549019607857,1.02,0.9583949090412818,-637.2549019607847,5885.038398305096,0.0,-737.2549019607847,2
  1,23890.289966636676,1911.223197330934,21979.06676930574,-13.749007865999959,0.0,4.80123417611378,121.66047535346226,nan,12.37546369812636,4.983555732907734,0.0,-686.165381644662,1.0004,1.0072323092126543,-568.8803699893259,15126.815339265735,0.0,-687.4503932999979,0
  2,32409.282030700917,2592.7425624560733,29816.539468244842,-13.908558471941609,0.0,5.006110001023346,149.32273959573172,nan,27.66226424226945,5.188431557817301,0.0,-683.0524598989541,1.0,1.0821120694328115,-561.3919845454915,23531.823656831857,0.0,-695.4279235970804,0
  3,41284.968769914834,3302.797501593187,37982.17126832165,-14.490917125247165,0.0,5.030742183944312,153.0465592531966,nan,3.723819657464862,5.213063740738267,0.0,-696.8835920200885,1.0,0.9756697205675223,-547.560852424357,32047.18239434924,0.0,-724.5458562623583,0
  4,49890.21795836683,3991.2174366693466,45899.00052169749,-14.049386430125724,0.0,5.055303171803846,156.85207626341074,nan,3.805517010214082,5.2376247285978,0.0,-698.7455018488212,1.0,0.9558143418361922,-545.6989425956245,40927.91573554562,0.0,-702.4693215062862,0
  5,58519.77673107752,4681.582138486202,53838.194592591324,-14.089075547282848,0.0,4.976411511643105,144.9532840643274,nan,-11.898792199083248,5.158733068437061,0.0,-700.6482603539285,1.0,0.8932055522489893,-543.7961840905172,49531.41643601576,0.0,-704.4537773641424,0
  6,66884.07761375497,5350.726209100398,61533.351404654575,-13.656001441106067,0.0,4.960964284912675,142.73136325942002,nan,-2.221920804907442,5.143285841706629,0.0,-694.6988642543868,1.0,1.0048804030440117,-549.7455801900591,58169.3816763993,0.0,-682.8000720553033,0
  7,75362.70127449304,6029.016101959443,69333.6851725336,-13.760420095430177,0.0,4.921925528490794,136.58233985666564,-0.3793151568013645,-6.149023402754352,5.104247085284749,0.0013775923101086453,-693.5879038519329,1.0,0.9060406218146416,-550.8565405925126,66541.74919200984,0.0,-691.3659830470253,0
  8,83812.82284529445,6705.025827623556,77107.79701767089,-13.766888348270902,0.04418048400152075,4.7699795039766695,117.91682510990428,nan,-18.665514746761374,4.9523010607706235,0.0,-695.1777707237521,1.0013775923101087,0.9862992462414982,-557.9111009596338,75023.66490839106,0.0,-688.3444174135451,1
  9,91956.7519996201,7356.540159969608,84600.2118396505,-13.281209258556366,0.0,4.916078602561312,135.95949273405236,-0.6793808734071766,16.998487140146597,5.098400159355267,0.00043183746377163803,-686.3530518165609,1.0002,1.0829434992657896,-563.3920462226557,83499.89016228553,0.0,-664.1411598746836,0
 10,100641.0414667761,8051.283317342089,92589.75814943401,-14.171269017620649,0.0,4.998060301596676,148.12556135145465,nan,12.166068617402207,5.18038185839063,0.0,-692.0718944904216,1.0004318374637717,1.050355944716215,-555.6054710068333,91625.0861656193,0.0,-708.5634508810324,0
 11,109319.56709283931,8745.565367427145,100574.00172541216,-14.169021430307046,0.0,5.025837423215864,152.29774038959877,nan,4.172179038144263,5.208158980009819,0.0,-696.2850028979504,1.0,0.9822738992258012,-548.1594415464951,100294.85813065276,0.0,-708.4510715153523,0
 12,117925.72216816511,9434.057773453209,108491.6643947119,-14.05086542910333,0.0,5.031713358692596,153.19526640548247,nan,0.8975260158836578,5.21403491548655,0.0,-698.3710924170227,1.0,0.9802901346898176,-546.0733520274233,108969.48671296643,0.0,-702.5432714551665,0
 13,126497.26009081546,10119.780807265237,116377.47928355022,-13.99434762881695,0.0,5.071797133045128,159.4606419825926,nan,6.265375577110079,5.254118689839082,0.0,-698.8198554249642,1.0,0.9901065678236732,-545.6245890194815,117577.37870406325,0.0,-699.7173814408475,0
 14,135172.92959600073,10813.83436768006,124359.09522832067,-14.164358375812588,0.0,5.03977632122042,154.43546722539708,nan,-5.0251747571955265,5.222097878014375,0.0,-701.9525432135194,1.0,0.981852735242141,-542.4919012309265,126153.8340874449,0.0,-708.2179187906294,0
 15,143679.5106642029,11494.360853136233,132185.1498110667,-13.88829562155452,0.0,4.9481472491715595,140.9136440451773,nan,-13.521823180219691,5.130468805965515,0.0,-699.4399558349216,1.0,0.9834391434778273,-545.0044886095243,134823.43025020324,0.0,-694.4147810777259,0
 16,151999.18662224422,12159.934929779538,139839.2516924647,-13.583144421291841,0.0,4.9517810673059115,141.42663008479045,nan,0.5129860396130765,5.134102624099866,0.0,-692.6790442448117,1.0,0.9330992043964441,-551.7654001996339,143338.97124712152,0.0,-679.157221064592,0
 17,160493.9310327211,12839.51448261769,147654.4165501034,-13.86897046608462,0.0,5.000639228406186,148.50805933795849,nan,7.0814292531680305,5.182960785200141,0.0,-692.9355372646181,1.0,1.0296145741784555,-551.5089071798278,151638.92486768178,0.0,-693.448523304231,0
 18,169112.5126267396,13529.001010139169,155583.51161660042,-14.071153622887408,0.0,4.863406971324015,129.46453353641073,nan,-19.043525801547666,5.04572852811797,0.0,-696.4762518912021,1.0,0.9785406983876231,-547.9681925532434,160136.56838378138,0.0,-703.5576811443703,0
 19,177321.38650034214,14185.710920027372,163135.67558031477,-13.33847174837888,0.5769575338655555,4.932946060757549,136.0734119163441,0.9985620859279845,6.608878379933364,5.1152676175515035,0.0011880454810474044,-686.9544889904281,1.0,1.0253122905368195,-557.4899554540175,168768.5169913885,0.0,-667.9109631888807,1
 20,185959.4584984126,14876.756679873008,171082.7018185396,-14.077649028934928,0.0,4.970176230072305,144.05227147635046,nan,6.401902026140791,5.15249778686626,0.0,-699.6554989684925,1.0012049914682348,1.0017216109215195,-557.0854298947253,176959.7280869373,0.0,-703.8824514467464,0
 21,194542.4241832476,15563.393934659809,178979.0302485878,-14.01300519973078,0.0,5.044347746824175,155.14307362711813,nan,11.090802150767658,5.22666930361813,0.0,-694.2483579603983,1.0,1.0897288901875224,-550.1960864840474,185607.4018283021,0.0,-700.6502599865389,0
 22,203250.76005778264,16260.060804622612,186990.69925316004,-14.217691223730993,0.0,5.120271622911793,167.3808279149241,nan,12.237754287805979,5.302593179705747,0.0,-699.7937590357819,1.0,0.9763407372220311,-544.650685408664,194207.6617896923,0.0,-710.8845611865496,0
