# experiment1.py N=100 T=1000 alpha=0.08 b=0.015 bank_max_failures_allowed=1 bank_sector_A_i0=500 beta=0.02 default_seed=13757 eta=0.5 firms_A_i0=1.0 firms_K_i0=5.0 g=1.0 k=1.0 lambda_param=0.3 phi=1.2 r_i0=0.02 rate_for_bank_deposits_and_networth=0 threshold_bankrupt=0 w=1.0
  t,BankL,BankA,BankD,BankPROFITS,BankBD,FirmsK,FirmsA,FirmsL,FirmsPROFITS,FirmsY,FirmsR,FirmsI,FirmsGAMMA,FirmsU,FirmsDK,FirmsOL,FirmsGAP_OF_L,FirmsDL,FirmsFAIL
  0,21184.64052287583,1694.7712418300664,19489.869281045765,-23.895424836601265,0.0,4.692504997935063,109.12619861106191,nan,9.126198611061913,4.874826554729018,0.0,-1594.771241830063,1.02,1.010238169191472,-1094.7712418300632,5658.588235294131,0.0,-1194.7712418300632,0
  1,35575.9455334652,2846.0756426772164,32729.869890787984,-23.496008180554078,0.0,4.847884457379761,127.47043525788435,nan,18.344236646822417,5.030206014173715,0.0,-1165.674210416641,1.0,1.0781909436722639,-1056.54801180558,20610.90242058187,0.0,-1174.8004090277038,0
  2,50192.529959454405,4015.4023967563526,46177.12756269805,-23.863811307737524,0.0,4.9135594173498305,136.12307195231844,nan,8.652636694434198,5.095880974143785,0.0,-1174.8463287400532,1.0,1.0683319479061981,-1047.375893482169,35012.37959535013,0.0,-1193.1905653868762,0
  3,64743.38968578029,5179.471174862423,59563.918510917865,-23.7565056756341,0.0,4.82020358547092,123.99033084037556,nan,-12.132741111942957,5.002525142264874,0.0,-1179.1726470872702,1.0,0.9502654517301495,-1043.0495751349515,49629.665249893646,0.0,-1187.825283781705,0
  4,78965.31549466742,6317.225239573394,72648.09025509402,-23.219470708387114,0.0,4.878914389837005,131.48784183791432,nan,7.497510997538747,5.06123594663096,0.0,-1173.1062765312988,1.0,1.04609199281964,-1049.1159456909234,64189.777917171574,0.0,-1160.9735354193556,0
  5,93473.63414675556,7477.8907317404455,85995.74341501511,-23.687050860552144,0.0,4.809025985242459,122.61213330972348,nan,-8.875708528190856,4.991347542036413,0.0,-1176.8550320300683,1.0,0.9683315697603774,-1045.3671901921539,78409.15455728096,0.0,-1184.3525430276072,0
  6,107727.01714491843,8618.161371593475,99108.85577332495,-23.270829384755647,0.0,4.861663165607057,129.23896926997435,nan,6.626835960250909,5.043984722401011,0.0,-1172.417177765973,1.0,1.0424778868546463,-1049.8050444562493,92923.38324232679,0.0,-1163.5414692377824,0
  7,122210.89568332124,9776.8716546657,112434.02402865555,-23.64714863412699,0.0,4.75493749021491,116.15639202635303,nan,-13.082577243621264,4.937259047008866,0.0,-1175.730595746098,1.0,0.8847933745172718,-1046.491626476124,107160.82632735136,0.0,-1182.3574317063494,0
  8,136373.20312435945,10909.856249948756,125463.3468744107,-23.122134597613336,0.0,4.804871327958164,122.10377866781637,nan,5.947386641463254,4.987192884752118,0.0,-1169.1893071242873,1.0,1.053389035450521,-1053.0329150979346,121646.21044141745,0.0,-1156.1067298806668,0
  9,150805.0553661688,12064.404429293503,138740.6509368753,-23.562207741729647,0.0,4.787108012523836,119.95396120281947,nan,-2.1498174649969286,4.96942956931779,0.0,-1172.1630004450192,1.0,1.00127770510906,-1050.0592217772023,135796.0776619717,0.0,-1178.1103870864824,0
