# experiment1.py N=100 T=1000 alpha=0.08 b=0.015 bank_max_failures_allowed=1 bank_sector_A_i0=500 beta=0.02 default_seed=12691 eta=0.5 firms_A_i0=1.0 firms_K_i0=5.0 g=1.0 k=1.0 lambda_param=0.3 phi=1.2 r_i0=0.02 rate_for_bank_deposits_and_networth=0 threshold_bankrupt=0 w=1.0
  t,BankL,BankA,BankD,BankPROFITS,BankBD,FirmsK,FirmsA,FirmsL,FirmsPROFITS,FirmsY,FirmsR,FirmsI,FirmsGAMMA,FirmsU,FirmsDK,FirmsOL,FirmsGAP_OF_L,FirmsDL,FirmsFAIL
  0,21184.37579121006,1694.7500632968047,19489.625727913255,-23.895424836601265,0.02117853326164343,4.6601099522209735,105.64769771707422,nan,5.64769771707424,4.842431509014928,0.0,-1594.771241830063,1.02,0.9786154337915839,-1094.7712418300632,5658.579925118447,0.0,-1194.7712418300632,2
  1,35563.12309165641,2845.049847332513,32718.073244323896,-23.465752562019883,0.0,4.736287599993506,114.01016373533709,nan,6.341287485001223,4.91860915678746,0.0,-1173.6187518506579,1.0004,0.9995861073442901,-1057.9498756003218,20619.967005606573,0.0,-1173.2876281009942,0
  2,49950.22722733774,3996.018178187019,45954.20904915072,-23.489149609275618,0.0,4.85380516156743,128.22738863500226,nan,14.217224899665139,5.036126718361385,0.0,-1168.1161929787788,1.0,1.109258713987278,-1054.1060292434424,34989.4697379924,0.0,-1174.457480463781,0
  3,64520.89209885908,5161.671367908727,59359.22073095036,-23.788840606565564,0.0,4.711077133614469,111.17184236552184,nan,-17.055546269480388,4.893398690408424,0.0,-1175.2248054286122,1.0,0.8985112145847393,-1046.99741679361,49387.98498241839,0.0,-1189.4420303282782,0
  4,78604.00030265788,6288.32002421263,72315.68027844524,-22.99282972048783,0.0,4.819497580505378,123.90282394490923,nan,12.730981579387421,5.001819137299334,0.0,-1166.6970322938719,1.0,1.0536690774386392,-1055.5251899283505,63977.61265705395,0.0,-1149.6414860243915,0
  5,93129.97073477904,7450.397658782324,85679.57307599671,-23.715870093259067,0.0,4.869681161237561,130.2793721599838,nan,6.376548215074509,5.052002718031516,0.0,-1173.0625230835658,1.0,1.03055026167189,-1049.1596991386568,78034.0331693718,0.0,-1185.7935046629534,0
  6,107617.15571600475,8609.37245728038,99007.78325872438,-23.652546908123536,0.0,4.816461816473685,123.52725456698953,nan,-6.75211759299423,4.99878337326764,0.0,-1176.2507971911027,1.0,1.009051588670113,-1045.971425031119,92537.46024380277,0.0,-1182.6273454061768,0
  7,121902.15782082462,9752.17262566597,112149.98519515865,-23.32245241603223,0.0,4.83236324643409,125.50721493409614,nan,1.9799603671065427,5.014684803228044,0.0,-1172.8747383946056,1.0,0.9754942086321231,-1049.347483827616,107011.60345364136,0.0,-1166.1226208016114,0
  8,136306.2551379041,10904.500411032328,125401.75472687179,-23.516893578905307,0.0,4.898324105079303,134.06491260468934,nan,8.557697670593273,5.080645661873258,0.0,-1173.8647185781585,1.0,1.076693688277816,-1048.3575036440632,121331.05810901463,0.0,-1175.8446789452653,0
  9,150843.34563518374,12067.4676508147,138775.87798436903,-23.734025301680983,0.0,4.976022653293188,144.89692872730276,nan,10.832016122613414,5.158344210087142,0.0,-1178.1435674134561,1.0,1.1165668099136774,-1044.0786548087663,135709.4142685791,0.0,-1186.701265084049,0
