# experiment1.py N=100 T=1000 alpha=0.08 b=0.015 bank_max_failures_allowed=1 bank_sector_A_i0=500 beta=0.02 default_seed=12353 eta=0.9 firms_A_i0=1.0 firms_K_i0=5.0 g=1.0 k=1.0 lambda_param=0.3 phi=1.2 r_i0=0.02 rate_for_bank_deposits_and_networth=0 threshold_bankrupt=0 w=1.0
  t,BankL,BankA,BankD,BankPROFITS,BankBD,FirmsK,FirmsA,FirmsL,FirmsPROFITS,FirmsY,FirmsR,FirmsI,FirmsGAMMA,FirmsU,FirmsDK,FirmsOL,FirmsGAP_OF_L,FirmsDL,FirmsFAIL
  0,13014.354034120062,1041.148322729605,11973.205711390458,-10.82352941176472,0.02814785862858038,4.557947813689355,95.38752585703693,nan,-4.612474142963069,4.74026937048331,0.0,-941.1764705882343,1.02,0.954779665265068,-441.17647058823604,5982.108346437845,0.0,-541.176470588236,2
  1,19571.522267403587,1565.721781392287,18005.8004860113,-10.701163021927478,0.0,4.5925268700609445,98.74362750074448,nan,1.3279537850790315,4.774848426854899,0.0,-545.6424773807086,1.0004,0.9781328793939963,-440.22680366504306,12744.734999719572,0.0,-535.0581510963739,0
  2,26181.483308601753,2094.5186646881402,24086.964643913612,-10.791773128486804,0.0,4.522376218700513,92.05407891989218,nan,-6.689548580852378,4.704697775494467,0.0,-538.260702639261,1.0,0.9092568094360927,-439.51707513851665,19312.782323522377,0.0,-539.5886564243402,0
  3,32652.25646075954,2612.1805168607634,30040.075943898777,-10.564527595359653,0.0,4.577597203566774,97.28036823943962,nan,5.226289319547436,4.759918760360728,0.0,-534.9159283488348,1.0,0.9630720512202481,-442.86184942894283,25911.976779154815,0.0,-528.2263797679826,0
  4,39301.00964927947,3144.0807719423574,36156.92887733711,-10.85510724656312,0.0,4.638444948779754,103.38345594901033,nan,6.1030877095707305,4.820766505573709,0.0,-537.5290730086086,1.0,1.0128172935938637,-440.2487047691689,32384.145411454632,0.0,-542.755362328156,0
  5,45997.8850302983,3679.830802423864,42318.05422787443,-10.933674091459295,0.0,4.691371936636907,109.00262196198096,nan,5.619166012970591,4.873693493430861,0.0,-540.580616863394,1.0,1.060352571885525,-437.1971609143838,39036.764302209594,0.0,-546.6837045729648,0
  6,52723.24976236325,4217.85998098906,48505.38978137419,-10.980187317657,0.0,4.716910167571104,111.8222064509454,nan,2.8195844889644612,4.899231724365059,0.0,-543.3901998698791,1.0,1.07757591330307,-434.3875779078984,45734.41989756198,0.0,-549.00936588285,0
  7,59431.58957575398,4754.527166060318,54677.06240969366,-10.952391532066525,0.0,4.61821152994927,101.31267531670922,nan,-10.509531134236179,4.800533086743224,0.0,-544.7999921143615,1.0,0.9811485196860555,-432.9777856634159,52448.752257621716,0.0,-547.6195766033262,0
  8,65912.27684456331,5272.982147565065,60639.294696998244,-10.580713908260146,0.0,4.555236817868449,95.1292808817605,nan,-6.183394434948749,4.737558374662403,0.0,-539.5452265472435,1.0,0.9329032912804904,-438.2325512305342,59170.957863105774,0.0,-529.0356954130073,0
  9,72408.08599702486,5792.646879761989,66615.43911726287,-10.605402697896402,0.0,4.566936892477515,96.24883724057459,nan,1.1195563588141235,4.74925844927147,0.0,-536.4535293297689,1.0,0.95523481520611,-441.3242484480086,65650.19105766533,0.0,-530.2701348948201,0
