# experiment1.py N=100 T=1000 alpha=0.08 b=0.015 bank_max_failures_allowed=1 bank_sector_A_i0=500 beta=0.02 default_seed=13833 eta=0.5 firms_A_i0=1.0 firms_K_i0=5.0 g=1.0 k=1.0 lambda_param=0.3 phi=1.2 r_i0=0.02 rate_for_bank_deposits_and_networth=0 threshold_bankrupt=0 w=1.0
  t,BankL,BankA,BankD,BankPROFITS,BankBD,FirmsK,FirmsA,FirmsL,FirmsPROFITS,FirmsY,FirmsR,FirmsI,FirmsGAMMA,FirmsU,FirmsDK,FirmsOL,FirmsGAP_OF_L,FirmsDL,FirmsFAIL
  0,21184.64052287583,1694.7712418300664,19489.869281045765,-23.895424836601265,0.0,4.674524742797192,107.18161615051834,nan,7.181616150518403,4.8568462995911466,0.0,-1594.771241830063,1.02,0.9925601468228945,-1094.7712418300632,5658.588235294131,0.0,-1194.7712418300632,0
  1,35540.21383075271,2843.217106460217,32696.996724292498,-23.437670706737777,0.0,4.716978976443811,111.82990107564112,nan,4.648284925122738,4.899300533237766,0.0,-1164.7019191863699,1.0,0.952981092983195,-1057.520303035852,20609.055550927525,0.0,-1171.8835353368888,0
  2,49893.22457628488,3991.4579661027906,45901.766610182094,-23.433486931481095,0.0,4.816858129808574,123.57621976733674,nan,11.746318691695537,4.999179686602528,0.0,-1167.0260616489313,1.0,1.047879708936053,-1055.1961605732904,34950.20907846092,0.0,-1171.6743465740547,0
  3,64405.13243744423,5152.410594995538,59252.721842448685,-23.6929107937295,0.0,4.764849607323859,117.31347287391372,nan,-6.262746893422948,4.947171164117813,0.0,-1172.8992209947799,1.0,0.9127518161984659,-1049.3230012274432,49260.55591628099,0.0,-1184.6455396864749,0
  4,78658.06992046363,6292.645593637091,72365.42432682654,-23.270102013092895,0.0,4.852403890606024,128.0478331511745,nan,10.734360277260809,5.034725447399979,0.0,-1169.767847548068,1.0,1.0217028918948408,-1052.4543746741545,63814.79059274188,0.0,-1163.5051006546448,0
  5,93184.96992302214,7454.797593841771,85730.17232918038,-23.71738775927918,0.0,4.7468628766660474,115.22225054070692,nan,-12.825582610467647,4.9291844334600015,0.0,-1175.1350276866983,1.0,0.9017870049503148,-1047.0871945355243,78048.58480240693,0.0,-1185.869387963959,0
  6,107344.70393171682,8587.576314537346,98757.12761717947,-23.117933075419934,0.0,4.869372339537076,130.23914527452254,nan,15.01689473381572,5.051693896331032,0.0,-1168.7222363814644,1.0,1.0730298253293031,-1053.4999858407577,92601.47081303514,0.0,-1155.8966537709966,0
  7,121937.48676812356,9754.998941449885,112182.48782667368,-23.824951569643755,0.0,4.858846619513543,128.87547389698238,nan,-1.3636713775402582,5.041168176307498,0.0,-1176.230683748372,1.0,1.0152641027030473,-1045.9915384738492,106758.06897507265,0.0,-1191.2475784821877,0
  8,136321.25518247884,10905.700414598308,125415.55476788053,-23.483703533641233,0.0,4.82951438900129,125.15017159622455,nan,-3.725302300757733,5.011835945795245,0.0,-1175.5488480596023,1.0,1.0269642268132537,-1046.6733741626201,121355.39353974661,0.0,-1174.1851766820616,0
  9,150653.27614143252,12052.262091314602,138601.01405011793,-23.399217892169318,0.0,4.725334156894569,112.7681743418206,nan,-12.381997254404018,4.9076557136885235,0.0,-1173.6861969092238,1.0,0.9236797843309178,-1048.5360253129982,135728.50443981463,0.0,-1169.9608946084659,0
