# experiment1.py N=100 T=1000 alpha=0.08 b=0.015 Bank02__max_failures_allowed=1 Bank02__sector_A_i0=500 beta=0.02 default_seed=18776 eta=0.2 Firms02__A_i0=1.0 Firms02__K_i0=5.0 g=1.0 k=1.0 lambda_param=0.3 phi=1.2 r_i0=0.02 rate_for_Bank02__deposits_and_networth=0 threshold_Bank02_rupt=0 w=1.0
  t,Bank02_L,Bank02_A,Bank02_D,Bank02_PROFITS,Bank02_BD,Firms02_K,Firms02_A,Firms02_L,Firms02_PROFITS,Firms02_Y,Firms02_R,Firms02_I,Firms02_GAMMA,Firms02_U,Firms02_DK,Firms02_OL,Firms02_GAP_OF_L,Firms02_DL,Firms02_FAIL
 35,190027.86525909795,15202.229220727837,174825.6360383701,7.956778480067708,7.535155987011961,5.671083408776434,228.4421887953198,4.125629088711508,-64.45100217127852,5.853404965570389,0.021621405439632587,-377.05242093281424,1.0205546884368657,0.8749698710522477,-65.9663904511226,184119.61037757277,0.0,-333.2457979089198,4
 36,194286.90851686455,15542.952681349165,178743.9558355154,-4.793004250181701,5.149516579848527,5.480379359085921,192.63263251257877,3.856617692481093,-47.34471226975284,5.662700915879875,0.0048080040424381,-398.0943137734897,1.0122354469870585,0.9896244621403456,-98.30218579006005,189848.94876446924,0.0,-285.3451481712593,3
 37,199031.68200806368,15922.534560645096,183109.1474474186,59.467050418565755,0.20672119298042624,5.665126448210805,231.90916039744937,4.038044270565388,31.127011305021984,5.84744800500476,0.025412339536010208,-348.8960722087974,1.0047128343665739,0.9358158249714308,-97.14734759588221,194112.76740598603,0.0,-266.35543883192236,1
 38,204846.04965541075,16387.68397243286,188458.3656829779,-7.568955575039197,10.264090483920718,5.41914164021901,217.04413044057267,2.156540269553952,-16.071751149857132,5.601463197012964,0.0011320734608364763,-401.06753174298814,1.0254371761373173,1.040699337179356,-108.11215268574891,198841.1936966029,0.0,-373.56176677418114,3
 39,208737.7347139401,16699.01877711521,192038.71593682488,-5.018875300416431,1.8539367241593332,5.54166368132902,240.8153430110421,2.6593298835286303,10.507122086548698,5.723985238122974,0.0043519032277521,-317.65065462608106,1.0014927343715536,0.9560548990871284,-68.947584499616,204667.6630291471,0.0,-306.0245066984313,3
 40,213014.66653186912,17041.17332254953,195973.4932093196,-6.347193963714144,0.36468250037082184,5.414404679792585,212.90163381724392,2.461053746785044,-32.7676459179575,5.59672623658654,0.002825439679738063,-341.49235377096574,1.0045399640206294,0.9691474667670383,-72.5917387610116,208547.97828961327,0.0,-334.7434436486702,1
 41,216700.8779247133,17336.070233977065,199364.80769073626,-2.41518539435896,0.0022353116003896306,5.654108678100526,253.1302306868869,3.4760481774943095,38.86391436927212,5.83643023489448,0.005894853378331266,-311.78600803444203,1.0028380532962358,1.1057839960753304,-82.1932663735127,212846.72027781905,0.0,-264.47364701865655,1
 42,221340.46012283862,17707.23680982709,203633.22331301152,-7.3965620389682405,1.086695257227701,5.660652014615161,282.1988471982579,1.6364851204441235,28.066381199770685,5.842973571409116,0.0011909603742074897,-364.2279489755674,1.0060948533783312,1.052655119831954,-73.76378283485613,216489.3952764161,0.0,-366.83462620945437,1
 43,226128.94730733402,18090.31578458672,208038.6315227473,-3.2343740011024167,3.576935328589264,5.7282342045595085,277.69191812249034,3.3922918236937174,-6.593624332995246,5.910555761353463,0.00817067204218528,-334.7841300897396,1.0013909603742075,1.0002926000027528,-41.36150611476478,221138.04630293133,0.0,-360.48630712610526,3
 44,230702.19890422968,18456.175912338374,212246.0229918913,-7.240471803140569,0.38172417299034234,5.74437821764001,289.260097992201,3.1428240866905015,4.991244541121334,5.926699774433965,0.0031333021025271384,-375.0495568967237,1.0063309647151002,1.0733407938199464,-57.70723521036422,225937.24007192208,0.0,-341.7192291227613,2
