# experiment1.py N=100 T=1000 alpha=0.08 b=0.015 bank_max_failures_allowed=1 bank_sector_A_i0=500 beta=0.02 default_seed=16430 eta=0.2 firms_A_i0=1.0 firms_K_i0=5.0 g=1.0 k=1.0 lambda_param=0.3 phi=1.2 r_i0=0.02 rate_for_bank_deposits_and_networth=0 threshold_bankrupt=0 w=1.0
  t,BankL,BankA,BankD,BankPROFITS,BankBD,FirmsK,FirmsA,FirmsL,FirmsPROFITS,FirmsY,FirmsR,FirmsI,FirmsGAMMA,FirmsU,FirmsDK,FirmsOL,FirmsGAP_OF_L,FirmsDL,FirmsFAIL
  0,10012.387784393854,800.9910227515082,9211.396761642345,-6.404982698961934,11.270661216191128,5.277580802449961,108.31369264993599,4.472572064546571,8.313692649935977,5.459902359243915,0.01751633986928109,-712.4183006535953,1.02,0.9978438186149291,-212.41830065359494,6089.9971240675795,0.0,-312.4183006535947,28
  1,14694.517382100785,1175.5613905680627,13518.955991532723,-7.587542155207051,1.4257589759418088,5.273466325081067,170.56816489961008,3.1996063887336827,22.983811033483022,5.455787881875022,0.004904575163398706,-504.24129932546987,1.0182117647058824,1.0280252234610063,-181.59812192993107,9822.52577640582,0.0,-376.7668296621852,5
  2,18609.27549731188,1488.7420397849503,17120.53345752693,-6.380713805121439,0.8509333477840428,5.316003902930024,198.4503587578196,1.6328448429762785,21.456434882267665,5.498325459723979,0.0012584493382059492,-329.4539511810845,1.0052039215686275,1.0533804032613394,-111.44041946239523,14534.268359960955,0.0,-317.8049377274843,2
  3,22396.80164498933,1791.7441315991464,20605.057513390184,-6.192713382407843,0.5455500250612144,5.407797745871057,219.64638844904292,1.2508318319983964,18.3450963434393,5.590119302665011,0.0016166034908598704,-295.5539301317189,1.0012576025969988,1.021306799918939,-82.4874665625146,18451.164153549274,0.0,-307.51922117802354,2
  4,26289.942926392832,2103.1954341114265,24186.747492281407,-6.862391930212635,2.614512584083554,5.497381033929842,238.3822562631625,1.73513172096844,16.190317789058415,5.679702590723797,0.021373554038024767,-300.86756456320984,1.0006394450996337,1.029511418285417,-69.40771341009093,22230.413163831934,5.058507804564581,-311.7148445911114,3
  5,30315.92496459965,2425.273997167972,27890.650967431677,-6.477192026439806,0.5784376249495373,5.450432136055701,224.70066508671243,2.0990120038710165,-19.2961037605337,5.632753692849656,0.0013629791343410939,-316.34142008195556,1.0008103578243486,0.9437523014631837,-59.205651211928924,26120.075337101487,0.0,-323.3793046678054,1
  6,34125.489054777776,2730.039124382222,31395.449930395553,-2.8549716342372005,0.7255073577216467,5.6702979066524355,260.5880572419343,3.385504667196109,34.30895453027218,5.8526194634463895,0.020478475292126812,-308.0457769395825,1.0013878157356484,0.9603654566946116,-70.4843854687437,30158.096729382956,0.0,-279.0458220448215,3
  7,39184.914010484565,3134.7931208387654,36050.1208896458,-7.90926033589522,0.6393686198013124,5.6437331824952635,275.54757653059454,1.941307775107351,11.23401193093888,5.826054739289218,0.0014598521635003701,-389.18114457035085,1.0119443438417148,1.0266896961383714,-87.36740918649278,33934.23591341057,0.0,-391.55978006829446,1
  8,43496.87069681987,3479.7496557455893,40017.12104107428,-6.999659186435191,6.634328902465094,5.683820537304869,269.9840954403893,3.181659798189529,-7.202849710006779,5.866142094098823,0.008796457793457217,-332.709214619504,1.0014209220238222,1.0332985402928916,-45.22295762130644,39008.918194577585,0.0,-334.84289924893943,3
  9,47985.138658583914,3838.8110926867134,44146.3275658972,-7.10809283580219,0.29801991757233937,5.696389278239053,289.08211035681785,2.1642547125343334,9.463686013963535,5.878710835033009,0.0008101220558247599,-356.6602777420446,1.0075733408424834,0.9905009629264576,-60.23789444140034,43321.9492002204,0.0,-348.3269818089938,2
 10,52242.09185174702,4179.367348139762,48062.724503607256,-7.050774620215771,1.8328214055789682,5.753115965358319,303.4355197497444,2.4626333147456467,12.055389475354136,5.935437522152274,0.0015353893945055496,-343.75389859058185,1.0010349586571319,0.98770462194915,-36.54147585670476,47818.764015095614,0.0,-339.03242170804737,2
 11,56704.52899581073,4536.362319664859,52168.16667614588,-6.23795616195713,1.9398035131149234,5.770360156172802,305.38491661270194,2.7257775044450607,-1.8834245426213252,5.952681712966757,0.004428286023953968,-351.3959302644546,1.0011063114754541,0.9783803458664329,-28.92020286049744,52059.37222139898,0.0,-352.2149831729574,2
 12,61385.19371860237,4910.81549748819,56474.37822111418,-7.500488042264619,5.663847907203005,5.80799842678554,300.0351071102676,3.4939869115760485,-9.289613015549326,5.990319983579495,0.002912187004061999,-371.3803090044845,1.0044701573196462,1.0294196120068786,-40.88007232809553,56519.291941080766,0.0,-352.5914202613901,1
 13,65892.74382644187,5271.41950611535,60621.32432032652,-4.9065726122396764,0.0,5.877114476232538,329.9139260703454,3.2907996352382165,23.214971052874752,6.0594360330264925,0.0030110213866398525,-358.370067673837,1.0020735862249934,0.9794800099965344,-33.044123008401336,61208.18429150839,0.0,-339.6393464114108,0
 14,70829.84711156815,5666.387768925451,65163.459342642695,-6.968923175400054,1.9532855432438647,5.783900566324473,304.9167235409246,3.001106664648679,-24.997202529420754,5.966222123118427,0.005109879228534474,-382.35597868069686,1.00301102138664,1.056399619423921,-25.577715870605896,65697.59363151045,0.0,-378.70661299382596,1
 15,75189.11198074822,6015.128958459858,69173.98302228836,-5.394338059139361,8.634670963881979,5.787213621828282,292.88879721971455,3.5029809117416466,-14.981211864453874,5.969535178622237,0.010326117143469262,-369.0060260954748,1.0044491241541527,0.9336096040307857,-41.49475078831203,70650.61673886594,0.0,-327.35865517246356,6
 16,79967.876295011,6397.43010360088,73570.44619141011,-8.406082908609811,0.13601896901568855,5.898102140819484,329.6138335672188,3.5476471016823243,22.09036538362235,6.080423697613439,0.07025864806459504,-400.0153772946724,1.0067708587936404,0.9513347794482709,-47.421357991258446,74995.72551377931,1.0292500968134157,-358.0737142994071,2
 17,88721.66763335763,7097.733410668611,81623.93422268901,-5.687313371673181,5.978988843942921,5.907661929640823,349.28577797160796,2.9209722772938274,17.53592543537353,6.089983486434778,0.015818128926594243,-461.7940568060196,1.0704520285722303,1.0421910208864391,-88.52719387240731,79765.02070741124,0.0,-445.6567444825698,5
 18,94547.7646525795,7563.821172206361,86983.94348037314,-8.273327367832474,4.3766959609585525,5.802763831662606,304.27260725979613,3.2936532887390406,-55.99215955575511,5.98508538845656,0.009965697814761657,-426.81764524553853,1.0138305217544106,0.9800774569012852,-32.405015295372294,88511.65638068714,0.0,-421.7814069219363,4
 19,99420.8872516635,7953.67098013308,91467.21627153043,-4.405835487319502,0.03683395022381364,6.11157853416663,380.9743043153822,4.249578187827593,68.32500109462772,6.293900090960584,0.0038948438624593104,-396.7441510971988,1.008275044754339,0.9634925755201567,-52.25903034534873,94363.65090353756,0.0,-320.16065802025923,1
 20,105068.71914092085,8405.497531273668,96663.22160964718,-9.56814714065963,20.91091447214876,5.953943471380049,355.86635554040794,3.3811066280806523,-26.14478272519802,6.136265028174004,0.0027217326750490402,-460.9981983818686,1.0040948438624593,0.8874504210244066,-4.9112128499603385,99192.57324626578,0.0,-455.9812341648798,2
 21,109979.96065601744,8798.396852481395,101181.56380353605,-8.363185624431724,16.987501001816387,6.009367299958782,361.5513152772382,3.821535159621873,-17.22595473531844,6.191688856752736,0.012538134006013717,-383.54593708158166,1.0008729635135005,1.0196098452547009,7.859207227931941,104877.12451386546,0.0,-373.97647331577656,5
 22,115571.87490000908,9245.749992000727,106326.12490800835,-5.788538729715346,0.19166894411642676,6.035003772512864,341.32244052454297,4.337002402118431,-42.21637575451174,6.217325329306819,0.0036751430130983636,-412.6475223472852,1.0017969790299466,0.9471877373795282,6.223706312770313,109771.04303898841,0.0,-381.98560821328323,1
 23,120764.86641624053,9661.189313299243,111103.67710294129,2.3936299952831632,0.9217235201208649,6.116790266104448,316.20766567746784,4.92143515833139,-26.306443791191484,6.299111822898403,0.004864822516025429,-441.15448644575895,1.003061420090199,1.0497091648126182,-19.897915475287906,115379.51039125076,0.0,-320.8138721158704,1
 24,125457.25501856724,10036.58040148538,115420.67461708187,-4.790881450935278,12.002815232100701,6.093567269120364,335.2983904104812,4.679354242287338,17.169001212892628,6.275888825914319,0.004451746588960744,-497.8902206978945,1.0048022972781445,1.0391333215676366,-39.489798796005125,120573.03091220865,0.0,-332.94170797847056,1
 25,130883.77580891285,10470.702064713028,120413.07374419982,-8.761834693595809,5.845170647739201,5.877093854129085,343.75236547458064,2.566374487106937,-4.548840168001494,6.05941541092304,0.002913808757242408,-450.0767368404372,1.0044448971507716,0.9666183301331266,-20.87334775192379,125267.34461487991,0.0,-428.1248584879781,3
 26,135947.09142138323,10875.767313710658,125071.32410767257,2.963068455041867,17.37482143897597,5.875288685827687,297.7756536627884,4.066490225757824,-54.82188245953141,6.057610242621642,0.017473408046257483,-378.63853460143383,1.0014076084409955,1.0345516978325793,-7.4370209389433475,130697.35414177836,0.0,-364.41750831717246,3
 27,141161.72015914344,11292.937612731475,129868.78254641197,-7.626144465717662,1.0226250920944913,5.890925977790379,323.0953085391385,3.6544118134914223,4.944833437374282,6.0732475345843335,0.0010723205136169633,-411.92043680978554,1.0142853803901957,0.9446916986360182,-58.5137940183057,135785.76835341664,0.0,-354.2215621324914,2
 28,145914.14429517082,11673.131543613667,134241.01275155714,-6.794361198027234,0.8909864558103593,5.923291070687956,338.5341765662946,3.5583489720348633,12.416242935061444,6.105612627481911,0.0016532380817562494,-391.02772781234665,1.0011219937162315,0.9286143704882925,-20.016644079658626,140988.9468267598,0.0,-354.1020362403606,1
 29,150671.64044139438,12053.73123531155,138617.90920608284,-4.543270630469129,6.746031838754676,5.950305752394749,345.1835047041977,3.6555084288907533,4.758341682092744,6.132627309188703,0.009446413409879282,-393.4600723492836,1.0016780746830634,0.8788197762494407,-14.805536698168343,145745.04284557048,0.0,-369.5379291111451,3
 30,155719.39952504876,12457.551962003901,143261.84756304487,-6.583838642427761,4.486351184333655,5.995826888892062,374.05305734950895,3.321276838265339,19.123520806556638,6.178148445686017,0.006812097224773475,-401.2032681267301,1.0033210928106908,0.8917050732319981,-13.522540567347658,150501.39539942454,0.0,-384.93292683662867,2
 31,160865.72608605307,12869.258086884245,147996.46799916882,-8.287011136195275,0.0,6.262546745966935,506.79253393248837,2.876983090531671,126.25312539864575,6.44486830276089,0.0014891789483699829,-411.71156221596925,1.00363340370915,1.0010555461983082,-1.888547151019447,155547.49865374286,0.0,-407.3631526880146,0
 32,167916.27724478437,13433.30217958275,154482.97506520164,-11.605625182001136,4.904950017284813,6.376347426069308,572.0564619416583,2.754960603700657,65.26392800916952,6.558668982863262,0.0012858775659900991,-455.43743276923124,1.00148917894837,0.9630842205411763,69.11571128244225,160613.4148032605,0.0,-563.9299480486923,2
 33,174838.32589393976,13987.066071515183,160851.2598224246,-11.206557671198784,0.8012394647973076,6.612228836228834,724.1789263651602,2.993770901034691,145.21751440621733,6.794550393022789,0.0016442311241649712,-488.83038965770334,1.0012075420695608,0.992471542855564,106.54171291055847,167667.54976579983,0.0,-547.0755701739198,3
 34,183743.86825562193,14699.509460449755,169044.3587951722,-4.632731643616143,1.8536247797106404,6.6736433277353004,768.3682974413822,3.1313521481429496,40.38813161142441,6.855964884529255,0.01164825858836262,-576.6207190970887,1.001573155391058,1.0053598637473333,179.6182355572149,174551.71211071964,0.0,-698.0755281588816,1
