# experiment1.py N=100 T=1000 alpha=0.08 b=0.015 BankZ_max_failures_allowed=1 BankZ_sector_A_i0=500 beta=0.02 default_seed=17833 eta=0.9 FirmsZ_A_i0=1.0 FirmsZ_K_i0=5.0 g=1.0 k=1.0 lambda_param=0.3 phi=1.2 r_i0=0.02 rate_for_BankZ_deposits_and_networth=0 threshold_BankZrupt=0 w=1.0
  t,BankZL,BankZA,BankZD,BankZPROFITS,BankZBD,FirmsZK,FirmsZA,FirmsZL,FirmsZPROFITS,FirmsZY,FirmsZR,FirmsZI,FirmsZGAMMA,FirmsZU,FirmsZDK,FirmsZOL,FirmsZGAP_OF_L,FirmsZDL,FirmsZFAIL
 26,185140.56777695354,14811.245422156284,170329.32235479724,-10.851428643316588,0.0,4.678008245839563,107.55563470563258,nan,5.400163941650263,4.860329802633519,0.0,-539.9666242708801,1.0,1.0533943377673591,-437.8111535068977,178217.2577123733,0.0,-542.5714321658294,0
 27,191854.38693669974,15348.35095493598,176506.03598176377,-10.961337403667113,0.0,4.617451595041976,101.23571352486458,nan,-6.319921180768027,4.799773151835931,0.0,-542.6667062417052,1.0,0.9877613957083955,-435.1110715360724,184874.40551823544,0.0,-548.0668701833556,0
 28,198385.92553646408,15870.874042917127,182515.05149354695,-10.663736489411058,0.0,4.600454805394083,99.52957193593761,nan,-1.7061415889269298,4.782776362188038,0.0,-539.5067456513212,1.0,0.9784774716359059,-438.2710321264564,191585.18448937233,0.0,-533.1868244705529,0
 29,204963.5328189963,16397.082625519703,188566.45019347657,-10.738950665358619,0.0,4.633155660275773,102.83807463500574,nan,3.3085026990680526,4.815477217069728,0.0,-538.6536748568578,1.0,1.004908953737531,-439.1241029209202,198128.4322928917,0.0,-536.9475332679309,0
 30,211622.8340730879,16929.826725847033,194693.00734724087,-10.872328578109197,0.0,4.617346934544718,101.22511869918637,nan,-1.6129559358193601,4.7996684913386725,0.0,-540.3079262063915,1.0,0.9949521545371645,-437.46985157138613,204711.1864412665,0.0,-543.6164289054599,0
 31,218211.96810379566,17456.957448303652,200755.01065549202,-10.75776984605325,0.0,4.597793601219571,99.26505554578412,nan,-1.9600631534022406,4.780115158013526,0.0,-539.5014482384819,1.0,0.9737233949192353,-438.2763295392956,211352.89999882286,0.0,-537.8884923026625,0
 32,224784.84468427332,17982.787574741866,206802.05710953145,-10.731227070167572,0.0,4.638488625323509,103.38797147965832,nan,4.122915933874191,4.820810182117463,0.0,-538.521416661781,1.0,1.0198363848485121,-439.2563611159966,217931.4242881567,0.0,-536.5613535083786,0
 33,231457.4906186651,18516.599249493207,212940.89136917188,-10.894115811251845,0.0,4.610472480322556,100.53163763751088,nan,-2.8563338421474174,4.79279403711651,0.0,-540.5828746287177,1.0,0.9728257717650113,-437.1949031490598,224514.87967566942,0.0,-544.7057905625923,0
 34,238027.1456985175,19042.1716558814,218984.9740426361,-10.725967477309936,0.0,4.676950201875902,107.44189629630374,nan,6.910258658792811,4.859271758669856,0.0,-539.1547077076443,1.0,1.0557499131517343,-438.6230700701333,231201.012543438,0.0,-536.2983738654968,0
 35,244758.76687079127,19580.7013496633,225178.06552112795,-10.990401913916667,0.0,4.618439719449518,101.3357964433574,nan,-6.106099852946255,4.800761276243473,0.0,-542.6098370370408,1.0,0.9914320078373804,-435.1679407407368,237753.69462483932,0.0,-549.5200956958333,0
 36,251293.53778969712,20103.48302317577,231190.05476652135,-10.669013745152427,0.0,4.62344713659983,101.84449962999449,nan,0.5087031866370841,4.805768693393785,0.0,-539.5567871105677,1.0,0.9937545768730421,-438.2209906672101,244491.67516363444,0.0,-533.4506872576213,0
 37,257912.45585285602,20632.99646822848,237279.45938462752,-10.806396837810466,0.0,4.633486866464782,102.87214088295522,nan,1.0276412529606935,4.815808423258736,0.0,-539.8111387038861,1.0,1.0102050724082974,-437.9666390738914,251030.20296992606,0.0,-540.3198418905233,0
 38,264544.0252100019,21163.522016800154,243380.50319320176,-10.827052011666542,0.0,4.689638502038212,108.8138367164335,nan,5.941695833478303,4.871960058832167,0.0,-540.3249593303664,1.0,1.0648127387054394,-437.45281844741123,257653.39244329822,0.0,-541.3526005833271,0
 39,271272.18462273903,21701.774769819123,249570.40985291993,-10.984750061611669,0.0,4.544648894244793,94.12737274464688,nan,-14.686463971786601,4.726970451038749,0.0,-543.2958072471056,1.0,0.9129227099528724,-434.4819705306721,264287.9883542168,0.0,-549.2375030805835,0
 40,277657.69448603445,22212.615558882757,255445.07892715168,-10.425322225788515,0.0,4.6187225936459555,101.36446578006327,nan,7.237093035416332,4.8010441504399095,0.0,-535.9525752612125,1.0,0.9954424774212195,-441.82520251656535,271019.5403417635,0.0,-521.2661112894257,0
