# experiment1.py N=100 T=1000 alpha=0.08 b=0.015 bank_max_failures_allowed=1 bank_sector_A_i0=500 beta=0.02 default_seed=11879 eta=0.9 firms_A_i0=1.0 firms_K_i0=5.0 g=1.0 k=1.0 lambda_param=0.3 phi=1.2 r_i0=0.02 rate_for_bank_deposits_and_networth=0 threshold_bankrupt=0 w=1.0
  t,BankL,BankA,BankD,BankPROFITS,BankBD,FirmsK,FirmsA,FirmsL,FirmsPROFITS,FirmsY,FirmsR,FirmsI,FirmsGAMMA,FirmsU,FirmsDK,FirmsOL,FirmsGAP_OF_L,FirmsDL,FirmsFAIL
  0,13014.54481571977,1041.1635852575816,11973.381230462188,-10.82352941176472,0.012885330652005589,4.7411738024475785,114.56860369145069,nan,14.568603691450644,4.9234953592415325,0.0,-941.1764705882343,1.02,1.1428294479553984,-441.17647058823604,5982.106436821176,0.0,-541.176470588236,1
  1,19903.87673532444,1592.3101388259552,18311.566596498484,-11.245679964780727,0.0,4.5678114077374525,96.33304513266927,nan,-19.248443889433418,4.7501329645314065,0.0,-550.7025092169339,1.0002,0.9264477055749192,-431.1210201948309,12744.910201240296,0.0,-562.2839982390364,0
  2,26247.01208800536,2099.7609670404286,24147.25112096493,-10.356139351315802,0.0,4.574796383642611,97.00828465227603,nan,0.6752395196067991,4.757117940436565,0.0,-537.0554114552233,1.0,0.9540179303407336,-440.7223663225543,19647.33038376331,0.0,-517.80696756579,0
  3,32838.34840450462,2627.0678723603696,30211.28053214425,-10.761365414692673,0.0,4.503192213388392,90.30494432813735,nan,-6.703340324138709,4.685513770182346,0.0,-537.3930312150268,1.0,0.8890810964580136,-440.3847465627511,25969.56291204008,0.0,-538.0682707346336,0
  4,39298.23915843265,3143.859132674612,36154.38002575804,-10.546760414576381,0.0,4.610415715295502,100.52593111834753,nan,10.220986790210137,4.792737272089456,0.0,-534.0413610529577,1.0,0.9939894941352209,-443.7364167248202,32570.764026678087,0.0,-527.3380207288191,0
  5,46028.05646360149,3682.244517088119,42345.81194651337,-10.987456824765452,0.0,4.591462563953037,98.63858996084114,nan,-1.8873411575062518,4.773784120746992,0.0,-539.1518544480623,1.0,0.9700939799204995,-438.6259233297152,39021.89998511138,0.0,-549.3728412382726,0
  6,52597.98678682108,4207.8389429456865,48390.14784387539,-10.726416854236058,0.0,4.699879565013535,109.9339317632344,nan,11.295341802393228,4.88220112180749,0.0,-538.2081838693094,1.0,1.0774379977104744,-439.5695939084683,45763.50979493616,0.0,-536.3208427118029,0
  7,59398.588944839124,4751.88711558713,54646.70182925199,-11.103023931457988,0.0,4.634307194167524,102.95656437269126,nan,-6.977367390543225,4.816628750961478,0.0,-543.8558547705061,1.0,0.9985294842644321,-433.9219230072714,52322.320274898055,0.0,-555.1511965728994,0
  8,65932.61403997662,5274.609123198129,60658.00491677849,-10.667796073693824,0.0,4.5875447012702395,98.25289355628354,nan,-4.703670816407656,4.769866258064194,0.0,-540.3671710752348,1.0,0.9571803316775122,-437.41060670254325,59131.08453802993,0.0,-533.3898036846912,0
  9,72465.68193439682,5797.254554751746,66668.42737964507,-10.666233297012461,0.0,4.592341796685903,98.72535437532568,nan,0.4724608190420868,4.774663353479857,0.0,-538.0153356670306,1.0,0.9672678562638682,-439.7624421107468,65663.83975537315,0.0,-533.3116648506231,0
 10,79065.05126386788,6325.204101109431,72739.84716275845,-10.77448053791187,0.0,4.600834393236398,99.56735932275788,nan,0.8420049474322557,4.783155950030352,0.0,-538.2515660765515,1.0,0.9749223934452838,-439.5262117012259,72184.90905373608,0.0,-538.7240268955935,0
 11,85674.10478921475,6853.9283831371795,78820.17640607757,-10.790291469954,0.0,4.672267288951917,106.93993149760857,nan,7.3725721748506885,4.854588845745872,0.0,-538.6725685502678,1.0,1.0442232556414495,-439.10520922751,78794.20834460843,0.0,-539.5145734977,0
 12,92408.31476766833,7392.665181413467,85015.64958625486,-10.99462853625088,0.0,4.57034046294387,96.57698506076233,nan,-10.362946436846295,4.752662019737825,0.0,-542.3588546376932,1.0,0.9366230686870431,-435.4189231400845,85407.12236239594,0.0,-549.731426812544,0
 13,98861.79159620301,7908.943327696241,90952.84826850677,-10.536288699648477,0.0,4.607227882030041,100.20598145512841,nan,3.628996394366087,4.789549438823996,0.0,-537.1773814192703,1.0,0.9906757894903663,-440.60039635850745,92163.26624161033,0.0,-526.8144349824238,0
 14,105508.89732733554,8440.711786186843,97068.18554114869,-10.852417520216378,0.0,4.577409603315309,97.2621201296238,nan,-2.943861325504634,4.759731160109263,0.0,-538.9918796164532,1.0,0.9545342309663651,-438.7858981613248,98599.2532555786,0.0,-542.6208760108188,0
