# experiment1.py N=100 T=1000 alpha=0.08 b=0.015 BankY_max_failures_allowed=1 BankY_sector_A_i0=500 beta=0.02 default_seed=12955 eta=0.0001 FirmsY_A_i0=1.0 FirmsY_K_i0=5.0 g=1.0 k=1.0 lambda_param=0.3 phi=1.2 r_i0=0.02 rate_for_BankY_deposits_and_networth=0 threshold_BankYrupt=0 w=1.0
  t,BankYL,BankYA,BankYD,BankYPROFITS,BankYBD,FirmsYK,FirmsYA,FirmsYL,FirmsYPROFITS,FirmsYY,FirmsYR,FirmsYI,FirmsYGAMMA,FirmsYU,FirmsYDK,FirmsYOL,FirmsYGAP_OF_L,FirmsYDL,FirmsYFAIL
 25,3167430.1299602496,253394.41039682,2914035.7195634297,713.8661109531326,1788.6424143487159,11.306973195304137,51622.6467915755,10.30107321189009,20123.429614188473,11.489294752098091,0.08453808854807057,-16125.284374429692,1.0324685013774526,0.9925409760433465,16625.644999749795,2910490.2465609456,0.0,8953.955827523661,10
 26,3927853.6459952365,314228.29167961894,3613625.3543156176,-3455.168132942329,10262.264856524991,11.022472773866907,44861.02572676556,9.703443083606883,-8560.26347915863,11.20479433066086,0.054434742551856465,-56154.98761555184,1.0472771154343412,0.9585779894691254,24979.71101928138,3144156.0585352657,0.0,-50724.20042506594,21
 27,4324655.693332885,345972.4554666308,3978683.2378662545,-1937.751481699739,318.9378832056094,11.173447286857785,69508.0280266309,7.441997975549409,14363.737443340386,11.35576884365174,0.05661452933619658,-31322.070746207522,1.037626881130037,0.858609388920655,28415.734339517803,3918901.062223285,0.0,-32066.30757445694,26
 28,4923358.716301452,393868.6973041162,4529490.018997336,-3855.442516518223,156.89013911144548,11.27554217994688,75897.04249066327,7.996940354573556,6044.076580826727,11.457863736740835,0.07485826090562799,-35272.6287469204,1.0260139234938896,1.0232677036979017,35858.32368721698,4315216.172978251,10.436787641884523,-48894.537273329544,14
 29,5482347.57709411,438587.8061675288,5043759.770926581,-2482.6209353542963,339.71280421579473,11.60270490405821,104925.5762819247,8.404633835514128,28857.643652149927,11.785026460852164,0.060145042336403165,-40070.6414658406,1.0542804565009667,1.0585802942111942,38805.05952017121,4913901.1976441415,33.53610329513139,-43503.67749525769,14
 30,6478016.409904974,518241.3127923979,5959775.097112576,-4566.989528788152,1554.9070611761194,12.031684167873058,163951.58521794938,8.30462345956796,58672.29613180887,12.214005724667013,0.054477111008336444,-55964.286329865405,1.047081732828222,1.0217044655524397,53322.73565070507,5465466.278094162,0.0,-81377.68570626384,14
 31,8201944.683614727,656155.5746891781,7545789.108925549,-7555.400516920872,261.584616876898,11.578755511823461,103416.40026413088,8.12802992703926,-62104.09201499459,11.761077068617414,0.05143667342484537,-84276.72932226703,1.0430744146210735,0.9846038580604022,83566.19494741742,6456154.113675227,9.828952886815804,-142943.40777758212,15
 32,8516920.188466989,681353.6150773591,7835566.573389629,-3445.9871991445093,476.5240671903279,12.517581059740925,233349.61232912345,10.590290723322397,129656.62744811582,12.69990261653488,0.06011857780195038,-54019.07001264147,1.0261785017620162,0.9497404059139911,52740.159127093306,8193274.325523297,0.0,10747.070832205989,16
 33,11324531.054870002,905962.4843896002,10418568.570480403,-27126.172309730176,478.49585233968196,12.840660967436294,374614.55426933605,7.876462682110582,140772.4178730225,13.02298252423025,0.10855927600016409,-155868.5178743709,1.0287698490914743,0.9898427643958895,116766.14608557688,8472882.817452531,3.019692694480902,-247340.31953173614,13
 34,15234152.051684923,1218732.164134794,14015419.88755013,-18298.229196153618,376.1572524489736,13.181447021315856,527332.356947383,8.039037697284119,152226.30682570708,13.363768578109813,0.05537360937294038,-188431.38975596297,1.0407669246091196,0.9900582771941777,188372.72586861535,11272084.100743337,0.0,-328517.48360656394,15
 35,20143175.63892511,1611454.0511140088,18531721.5878111,-26337.30290520735,135.4852010934979,12.28986218056069,213600.32309430005,8.263507678792609,-314123.1911055319,12.472183737354644,0.06272571940683187,-264256.84876202204,1.0337793661079009,0.9641159283590155,264756.7208399152,15189566.331250604,0.0,-415694.2207138126,16
 36,20252959.214469925,1620236.737157594,18632722.47731233,-5823.322901750168,2599.596690258276,13.66920330677592,638825.7245425985,12.324151219494384,425073.9162472049,13.851524863569875,0.04854246911367308,-108809.43836389264,1.033515708084329,0.9467920631389062,107745.03067056047,20136147.511921756,0.0,207786.71930607944,12
 37,29444693.111278027,2355575.4489022424,27089117.662375785,-54897.06940052959,707.6912216771015,13.758453331204858,939217.3335832941,8.579732453937563,297780.0123504372,13.940774887998813,0.07124970385998004,-546520.9464969719,1.0371959479515969,0.9945021403704212,314182.0327271875,20192576.541077908,1.9414751079419403,-767658.9543186735,14
 38,38469889.82228196,3077591.185782557,35392298.6364994,-48758.78688569039,1798.3975150576916,13.595450293652398,798816.2484081275,8.203629122723195,-141122.77639684343,13.777771850446353,0.06316912035601613,-473595.36124316853,1.0564503663991633,1.049829132546325,470595.3072440571,29379177.407158278,83.4353056009034,-768098.7332891546,13
 39,41833140.50321549,3346651.2402572394,38486489.26295825,-12454.319362309492,15955.359329562847,13.940850421424736,1096973.0241294845,10.506726714231315,296345.37820629845,14.12317197821869,0.04172069024627623,-401044.4639743737,1.0460883194109531,1.0323544111236391,401132.7636310578,38446832.63607906,0.0,-260787.31023457774,16
 40,52348834.52904379,4187906.762323504,48160927.76672029,-38386.89761362568,131.94887795312505,14.66067116754256,2327181.3007636676,7.065134486217157,1214236.9173046208,14.842992724336515,0.04370664703466409,-563237.2339962162,1.0254374794557262,0.9641746604878071,557185.1097236509,41774056.546714276,0.0,-878001.6707420177,17
