# experiment1.py N=100 T=1000 alpha=0.08 b=0.015 bank_max_failures_allowed=1 bank_sector_A_i0=500 beta=0.02 default_seed=16149 eta=0.3 firms_A_i0=1.0 firms_K_i0=5.0 g=1.0 k=1.0 lambda_param=0.3 phi=1.2 r_i0=0.02 rate_for_bank_deposits_and_networth=0 threshold_bankrupt=0 w=1.0
  t,BankL,BankA,BankD,BankPROFITS,BankBD,FirmsK,FirmsA,FirmsL,FirmsPROFITS,FirmsY,FirmsR,FirmsI,FirmsGAMMA,FirmsU,FirmsDK,FirmsOL,FirmsGAP_OF_L,FirmsDL,FirmsFAIL
  0,15465.279314703443,1237.2223451762754,14228.056969527168,-14.745098039215693,0.0325567845069501,4.845400498520149,127.15419686506633,nan,27.154196865066336,5.027722055314104,0.0,-1137.2549019607857,1.02,1.1329315514479505,-637.2549019607847,5885.033721843897,0.0,-737.2549019607847,2
  1,24255.927416282342,1940.4741933025875,22315.453222979755,-14.346060125827078,0.0,4.8718832243657495,130.56657166144268,nan,1.3798180118693664,5.054204781159704,0.0,-696.1162526417809,1.0004,0.9327626434360198,-558.9294989922075,15114.691518348825,0.0,-717.3030062913539,0
  2,32694.772660576313,2615.581812846105,30079.190847730206,-13.777706521296269,0.0,4.948752504638361,140.99895861453285,nan,10.432386953090184,5.131074061432315,0.0,-687.5055080529443,1.0,1.0226843487715924,-556.9389363915016,23908.217348436607,0.0,-688.8853260648134,0
  3,41308.41024448794,3304.6728195590354,38003.737424928906,-14.06308176965158,0.0,5.037869954363504,154.1413370182638,nan,13.14237840373094,5.220191511157459,0.0,-692.7217015294892,1.0,1.0185600156839967,-551.7227429149566,32341.666197166476,0.0,-703.154088482579,0
  4,50035.74229139273,4002.8593833114182,46032.88290808131,-14.248705382701717,0.0,5.166348632312493,175.2736789957693,nan,21.132341977505526,5.348670189106449,0.0,-699.2928907313549,1.0,1.00124133805562,-545.1515537130911,40954.032636987475,0.0,-712.4352691350858,0
  5,58990.38698668845,4719.230958935076,54271.15602775337,-14.619828073952261,0.0,5.111937587080306,165.9916667973151,nan,-9.282012198454103,5.294259143874261,0.0,-709.8590617201074,1.0,1.0448014202259794,-534.5853827243383,49663.41983196953,0.0,-730.991403697613,0
  6,67515.6035186131,5401.248281489049,62114.35523712406,-13.918720868448524,0.0,5.134097395257598,169.71106870701897,nan,3.7194019097037296,5.316418952051552,0.0,-705.2180556208799,1.0,0.9925919448590141,-539.2263888235651,58614.30445437384,0.0,-695.9360434224262,0
  7,76222.86871005964,6097.829496804772,70125.03921325487,-14.215943169708718,0.0,5.281848770546467,196.7332539919247,nan,27.02218528490574,5.464170327340421,0.0,-707.0777565757323,1.0,1.0587015787587373,-537.3666878687134,67129.319062276,0.0,-710.7971584854358,0
  8,85381.10388272245,6830.488310617797,78550.61557210465,-14.95222069006182,0.0,5.193475525061399,180.09338556706118,nan,-16.639868424863526,5.375797081855353,0.0,-720.5888492181853,1.0,0.9763244530674984,-523.8555952262604,75829.61431003056,0.0,-747.611034503091,0
  9,93902.55970333834,7512.204776267067,86390.35492707127,-13.912580931617802,0.0,5.182477090374909,178.1234929534492,nan,-1.969892613611936,5.364798647168863,0.0,-712.2689150057535,1.0,1.027946135806067,-532.1755294386926,85024.16325089624,0.0,-695.6290465808901,0
 10,102593.2145084898,8207.457160679183,94385.7573478106,-14.209134604690801,0.995211217738754,4.9939507656720785,146.37542896827657,0.13335375740239627,-31.748063985172735,5.176272322466033,8.727541372774241e-05,-711.2839686989474,1.0,0.9162626551408733,-533.1604757454982,93555.44579730977,0.0,-709.3140760853354,1
 11,110789.37074328969,8863.149659463175,101926.22108382652,-13.378470363338844,0.0,4.925039753824044,137.69481542952025,nan,-10.675824756495025,5.107361310617999,0.0,-701.0578691126162,1.0002,0.8754397930682253,-548.6872289266008,102275.03453478188,0.0,-668.9235181669421,0
 12,119136.06981765642,9530.885585412514,109605.1842322439,-13.620183138441744,0.0,4.889044622379656,131.8643099319238,-0.03842496625682172,-5.830505497596408,5.071366179173611,0.0002721086473962973,-691.0696299369831,1.0,1.0167315892467605,-553.3748145074627,110454.53184331775,0.0,-680.3938051804881,0
 13,127508.74747390926,10200.69979791274,117308.04767599652,-13.664347606908319,0.0,4.944964389395594,140.46584868861143,nan,8.601538756687566,5.127285946189548,0.0,-690.0101897503072,1.0002721086473962,1.0256474104573026,-557.1835759110884,118778.79861183722,0.0,-683.2173803454159,0
 14,136096.69186911872,10887.735349529497,125208.95651958922,-14.021133706464326,0.0,4.9153474651377955,136.36668424031546,nan,-4.09916444829591,5.09766902193175,0.0,-692.4551465665285,1.0,0.9545428009504179,-551.9892978779171,127149.65441593547,0.0,-701.0566853232162,0
 15,144503.94526782114,11560.315621425692,132943.62964639545,-13.726127997881697,0.0,5.0446269812675935,155.1864009658938,nan,18.819716725578324,5.226948538061548,0.0,-690.4055643423804,1.0,1.0557115089068965,-554.038880102065,135746.8062682019,0.0,-686.3063998940848,0
 16,153307.2257258477,12264.578058067817,141042.64766777988,-14.372702788614957,0.0,4.948093458083419,140.9060643507922,nan,-14.280336615101577,5.130415014877373,0.0,-699.81542270517,1.0,0.9127479760006666,-544.6290217392758,144140.09929991336,0.0,-718.6351394307478,0
 17,161617.56346868345,12929.405077494675,148688.15839118877,-13.567898355650343,0.0,4.988487654952577,146.71437287423646,nan,5.808308523444261,5.170809211746532,0.0,-692.6752543976189,1.0,1.0088860547878065,-551.7691900468267,152955.0732024376,0.0,-678.3949177825172,0
 18,170209.5630041726,13616.76504033381,156592.7979638388,-14.027754343655706,0.0,5.0818889418625846,161.0780357830187,nan,14.3636629087822,5.2642104986565394,0.0,-695.5794086593415,1.0,1.0602359796042062,-548.8650357851045,161250.8534985495,0.0,-701.3877171827853,0
 19,178994.34306619834,14319.547445295868,164674.79562090247,-14.342498060450284,0.0,4.9609634824829065,142.73124872757114,nan,-18.34678705544753,5.1432850392768605,0.0,-702.7612401137324,1.0,0.9485639313228935,-541.6832043307135,169830.1690829434,0.0,-717.1249030225142,0
 20,187301.25191960364,14984.100153568292,172317.15176603536,-13.605353643532323,1.9783285986034667,4.958495905214163,137.4841515423135,1.5882818904461722,-5.247097185257579,5.140817462008117,0.006850525936612034,-693.5878465860083,1.0,0.9284637958025921,-550.8565978584373,178641.6631504825,0.0,-675.2410595305607,1
 21,195779.12012837347,15662.329610269879,180116.7905181036,-13.842020639917257,0.1954653934214634,4.836571899404534,123.9920226432294,0.7151638767564915,-16.470457497687597,5.018893456198489,0.00041337137398538703,-697.3360228382737,1.000224699710729,0.907506437604567,-552.7237521150224,186952.0887564438,0.0,-690.0565102914708,1
 22,203990.6743243566,16319.253945948529,187671.42037840807,-13.403609891801098,0.0,4.894958428915881,133.61445200146832,nan,8.426963964817464,5.077279985709836,0.0,-689.4662930379337,1.0002,1.0314018491302053,-560.2788050012832,195464.340496017,0.0,-670.1804945900549,0
 23,212534.51537365708,17002.761229892567,195531.7541437645,-13.949128243755485,0.0,4.8510694826600265,127.87707905829666,nan,-5.737372943171717,5.03339103945398,0.0,-689.0294482229572,1.0,0.9086576239839783,-555.4149962214884,203650.56579301207,0.0,-697.4564121877743,0
 24,220869.7018865576,17669.576150924608,203200.125735633,-13.608467776163998,0.0,5.093943946856739,163.03158366565265,nan,35.154504607356046,5.276265503650693,0.0,-686.1607617513711,1.0,1.1057159029205283,-558.2836826930746,212197.4330449223,0.0,-680.4233888081999,0
 25,229921.13524017204,18393.690819213763,211527.4444209583,-14.7778503732481,0.0,5.188887148263163,179.26894213020876,nan,16.237358464556095,5.371208705057118,0.0,-703.7380140550491,1.0,1.1054775276814577,-540.7064303893965,220507.35517079386,0.0,-738.892518662405,0
 26,238840.2873741327,19107.222989930615,219733.06438420207,-14.561881035037661,0.0,5.2805274400266935,196.47347600325915,nan,17.204533873050398,5.462848996820648,0.0,-711.8566932873271,1.0,1.030821493270249,-532.5877511571183,229562.83154663807,0.0,-728.0940517518831,0
 27,247876.66517681978,19830.133214145582,228046.5319626742,-14.75326988193805,0.0,5.378705311506833,216.74148099207713,nan,20.268004988818003,5.561026868300788,0.0,-720.4589602238523,1.0,1.0007060658785112,-523.9854842205932,238485.4354318586,0.0,-737.6634940969025,0
 28,257074.71203123158,20565.976962498527,236508.73506873305,-15.01721935414159,0.0,5.411894240227879,224.05560109500308,nan,7.314120102925866,5.594215797021833,0.0,-730.5929627182617,1.0,0.9625528388701192,-513.8514817261841,247521.91626271576,0.0,-750.8609677070795,0
 29,266170.9360281551,21293.674882252406,244877.26114590268,-14.866948769679915,0.0,5.533414056346377,252.005490033017,0.000725387748338222,27.949888938013952,5.715735613140331,4.359950007647236e-05,-734.2500227697246,1.0,1.0584816561583494,-510.19442167472124,256722.32219142182,0.0,-741.5641428726503,0
 30,275692.0124004123,22055.360992032984,253636.65140837932,-15.552567763632505,0.0,5.661811026807956,286.82939845751383,-0.1746520387209022,34.8239084244969,5.844132583601911,9.200973327960404e-05,-749.3860520400787,1.0000435995000765,0.9165950196972136,-496.379836356156,265800.09175012395,0.0,-776.3352153271871,0
