# experiment2.py N=100 T=1000 alpha=0.08 b=0.02 bank_max_failures_allowed=1 bank_sector_A_i0=500 beta=0.02 default_seed=9830 eta=0.0001 firms_A_i0=1.0 firms_K_i0=5.0 g=1.0 k=1.0 lambda_param=0.3 phi=1.2 r_i0=0.02 rate_for_bank_deposits_and_networth=0 threshold_bankrupt=0 w=1.0
  t,BankL,BankA,BankD,BankPROFITS,BankBD,FirmsK,FirmsA,FirmsL,FirmsPROFITS,FirmsY,FirmsR,FirmsI,FirmsGAMMA,FirmsU,FirmsDK,FirmsOL,FirmsGAP_OF_L,FirmsDL,FirmsFAIL
  0,4583.905448450993,366.7124358760795,4217.193012574914,-1.2789769243681803e-13,133.2875641239204,6.765030080281081,183.24223774967032,6.527592425428483,83.24223774967035,6.947351637075036,0.13675000980392152,283.75004901960773,1.02,0.9385923670731827,783.7500490196057,6183.455910045148,0.0,683.7500490196063,45
  1,8372.715970652,669.81727765216,7702.89869299984,-23.5467926348378,54.69147726497875,6.860880247181364,562.1079027542571,5.971513677644054,200.5781008806663,7.043201803975319,0.09215860612209528,-298.4228844230958,1.084212505392157,1.1132395253018952,619.1694444112786,4386.636753727488,0.0,-3.8901593359023554,20
  2,12849.143370248663,1027.931469619893,11821.21190062877,-16.651029508209973,45.09414491881823,7.0351657356861725,784.3090293453653,5.862420567029195,147.5096493261298,7.2174872924801265,0.07861997495211333,-118.1463425781349,1.0589239977805276,1.0153393608902586,882.2838454548713,8164.787803611186,28.245908930733677,-40.46000384128443,16
  3,18894.44158645329,1511.5553269162633,17382.886259537026,-7.134020695019316,64.95156677667256,7.290086578087744,1015.7803042647135,6.1090637541814505,170.37713000052926,7.472408134881699,0.054867053680229816,-121.3765590644966,1.0641884845944944,1.0146276719053475,1043.2638128038968,12587.871283700442,3.0993895208789333,-23.935349425127114,15
  4,25251.63684306512,2020.1309474452096,23231.50589561991,-50.04918963303976,64.93406744391687,7.43329757679853,1287.9747021356395,5.9999314192729996,192.24283109425343,7.615619133592484,0.08631245417203447,-284.17732534264275,1.0434264282012113,1.0212891798206312,1189.764279964733,18592.681784947166,49.54439722697677,-189.09415096509963,15
  5,34086.68199078407,2726.9345592627255,31359.747431521344,-25.41198101524769,63.902576215564196,7.643064047030302,1650.6244257698163,6.07649846187089,282.71565619026046,7.825385603824256,0.056875907096618265,-339.51331101656194,1.0332267435610318,1.0012098451081177,1359.0100249825102,24854.21402030783,33.27977301150649,-326.5670265319688,13
  6,46621.57670271933,3729.7261362175464,42891.85056650178,-27.340648299231063,108.11975276154804,7.921091081158054,2196.218645436899,6.325355677614469,468.6916434515185,8.103412637952008,0.04072739862094138,-579.3114479430508,1.0379796373593866,0.9986669033035576,1522.6321026417477,33480.29616316766,0.0,-604.4049171793267,16
  7,65464.96114547903,5237.196891638322,60227.76425384071,-60.95080006090779,96.31878782848058,8.122852903566372,2763.990659121372,6.407923080170874,443.652260922926,8.305174460360327,0.05214607236954975,-876.0784470846287,1.0285389536950793,0.9666912015472442,1856.0066992539291,45783.113867446365,2.0843021995356317,-1109.9317057389242,20
  8,88657.49809589346,7092.599847671477,81564.89824822199,-76.6012616689116,59.68418299074188,8.443107110524556,4027.538358031436,6.422305650410899,1147.2289110815816,8.62542866731851,0.04649120135332281,-1220.3521419486162,1.0338540189051466,1.0372906652812122,2110.6062941413516,64492.233041876854,0.0,-1412.9256881398308,17
  9,124753.03086833605,9980.242469466884,114772.78839886916,-95.56489974799021,92.65745284594686,8.50334468572136,4491.452225805968,6.086280270373127,387.2296847837918,8.685666242515316,0.037156361708795854,-1879.5735537970272,1.0295633244125448,1.0050139310168826,2737.7890346605723,87235.03667505328,17.766765777540517,-2621.70746467523,13
 10,165269.53195122656,13221.562556098124,152047.96939512843,-39.693831793357276,100.39236020492557,9.039486183192459,7234.25326115775,7.086061695499367,2637.1435825058343,9.221807739986412,0.05243870129038503,-1954.264469961372,1.0294964171528167,1.0325039209775657,2988.9663118874632,123116.54209076666,0.0,-2164.4644580245194,15
 11,248388.5366379531,19871.08293103625,228517.45370691686,-279.3221474367897,229.35082044819185,9.120358912578908,8219.698911973444,6.824137110173624,870.0532906107737,9.302680469372863,0.04430800685447944,-4139.579875734792,1.0358246784409875,0.8902063299534154,4257.7160405234235,162098.59129380592,7.871163361659445,-5863.866031919305,18
 12,326250.19710261695,26100.015768209356,300150.1813344076,-204.23405960123586,70.85047793333398,9.45304952356169,11030.600969129717,7.447971124431521,2563.551236708072,9.635371080355645,0.05485759914184019,-4198.9770966362385,1.027536714210873,0.997521699916119,4931.960554048345,245206.29354472776,111.96575574422457,-4743.877655913856,16
 13,435523.2308403364,34841.85846722691,400681.3723731095,-591.2180543087372,552.0542178800699,9.740900703197045,15039.917118079524,7.5801528087133105,3922.465671016473,9.923222259991,0.08263356106519582,-6569.654277912549,1.04034794430364,1.0243891199246795,6136.076712864481,322108.86467710347,22.45205562672798,-7681.492952818396,18
 14,603411.2360896276,48272.89888717021,555138.3372024574,-562.5890649513515,98.62729299756624,9.866766668836668,17293.969776832735,7.593340557963792,1683.9984408731434,10.049088225630623,0.042002155420610705,-8546.974743190422,1.0453524633829216,0.9530080624480465,8390.736433646769,429870.3383981292,0.0,-11854.542965736435,13
 15,736624.2554544939,58929.94043635952,677694.3150181344,-408.9660056446605,232.8916053639649,9.847469071190673,17632.371771840735,7.153099718670736,226.77470201043656,10.029790627984628,0.041891646348077266,-9944.839124106862,1.0282554234701222,0.9815668157288584,9362.728285149016,596974.614015937,5.221893909806759,-9941.294880498612,15
 16,879962.5511127505,70397.00408902005,809565.5470237305,-703.7898746101971,428.1193378176702,10.185258054663286,22925.751013677538,8.184161896540036,5045.487636472853,10.367579611457241,0.06768505142349969,-9075.703357249611,1.0300713538304402,0.9392908455757573,9620.650441814316,730729.3279714957,31.50677401999718,-9046.242371652057,19
 17,1104911.3389527595,88392.90711622075,1016518.4318365387,-756.3858203334587,251.7278274062664,10.405356441941905,30677.80100311261,7.765699516513523,7304.930651617377,10.58767799873586,0.0526015358118191,-14040.764720083289,1.0415546965351716,0.9970241808042046,12261.59480971994,871661.5514930779,0.0,-16795.021156092716,16
