# experiment2.py N=100 T=1000 alpha=0.08 b=0.02 bank_max_failures_allowed=1 bank_sector_A_i0=500 beta=0.02 default_seed=2384 eta=0.0001 firms_A_i0=1.0 firms_K_i0=5.0 g=1.0 k=1.0 lambda_param=0.3 phi=1.2 r_i0=0.02 rate_for_bank_deposits_and_networth=0 threshold_bankrupt=0 w=1.0
  t,BankL,BankA,BankD,BankPROFITS,BankBD,FirmsK,FirmsA,FirmsL,FirmsPROFITS,FirmsY,FirmsR,FirmsI,FirmsGAMMA,FirmsU,FirmsDK,FirmsOL,FirmsGAP_OF_L,FirmsDL,FirmsFAIL
  0,4563.53814833662,365.0830518669296,4198.45509646969,-1.5631940186722204e-13,134.91694813307018,6.834590684793354,245.69778670300664,6.527592425428483,145.69778670300676,7.016912241587308,0.13675000980392152,283.75004901960773,1.02,1.0050050486606215,783.7500490196057,6185.687312229673,0.0,683.7500490196063,36
  1,8727.302621368968,698.1842097095174,8029.11841165945,-82.62163727528683,51.80193229222353,6.7655932409818575,513.6596788704859,5.86879113946562,97.04494403440897,6.9479147977758124,0.17437668607955487,-400.57130657010975,1.09472000627451,1.0357160702815653,597.6434596385155,4333.107308560376,0.0,-135.58601003363773,25
  2,12194.465829644276,975.557266371542,11218.908563272733,-13.482418309266816,102.8256154880187,6.900762117933549,608.1894872497571,5.9528322029085405,17.727876087047463,7.083083674727504,0.07525305269232316,-55.745991067836925,1.0616671103522208,0.9029968043904497,871.4006235047888,8527.41385770229,35.82165131124373,67.5454451777566,27
  3,16351.07596844998,1308.0860774759985,15042.989890973982,-12.683006906792112,65.18403398593709,7.204818988328142,962.925746798942,5.947970486821141,224.9106440611663,7.387140545122098,0.06406439670082424,-119.7499554847677,1.0554122336206284,1.063633097158744,973.4063161901698,11965.6619455596,11.909792010427871,-0.4700773196909722,20
  4,24025.84418099214,1922.067534479371,22103.776646512768,-14.084996938207837,55.840506303184284,7.492763327614539,1332.394123918055,6.136887196110269,284.2843431331769,7.675084884408493,0.05080857745558261,-217.25718677907255,1.043266894097034,1.048892677632774,1159.7269595218288,16018.153558493588,4.702998549561251,-212.19408140367776,14
  5,33287.24068529061,2662.979254823249,30624.261430467363,-30.555932898217105,100.50470917015343,7.680458524936528,1692.0694226126366,6.16024295169945,289.834792391397,7.862780081730482,0.045600514028871296,-435.35643384773704,1.0381961532376864,0.9685418925320923,1352.9257520117462,23548.051066292097,1.7335035236386798,-422.9509248774241,15
  6,46094.514867141865,3687.5611893713494,42406.953677770514,-65.62364735220527,103.72081236727935,7.846255503590277,2060.533279734593,6.205792594067974,252.9591479518031,8.028577060384231,0.06596820091400325,-608.9833724636771,1.034547211492831,0.9068477234333562,1582.0418811366064,32652.48972681961,10.69737041760986,-671.8085698062503,24
  7,62311.785118600455,4984.942809488037,57326.84230911242,-87.82876514962098,97.8499438599182,8.183826873471464,3018.9120399501867,6.334391518345607,830.657947848313,8.366148430265417,0.06755905498321388,-794.3787190062501,1.0273516818602977,1.0158262030598344,1795.067557374886,45342.55033403047,69.77884421897697,-827.805934643703,25
  8,93030.0748061426,7442.405984491408,85587.6688216512,-116.83001733525825,79.63243169794055,8.312745206591769,3474.6098490672944,6.398388327687119,332.8478652571898,8.495066763385724,0.05254286872269783,-1356.6621514159597,1.03675576267693,0.9098116593737308,2224.439063115678,60993.680353901786,10.736928920406047,-2022.3019099680384,15
  9,119451.6220748168,9556.129765985344,109895.49230883145,-163.94081372253473,118.22514714569472,8.524313059019237,4196.238045123298,6.732792569910504,626.9957643580641,8.706634615813192,0.0735618035895377,-1618.8152678917183,1.0370501530697032,1.094947899268941,2442.7956169629397,91835.95503498844,72.38430833631631,-1578.9464353427857,15
